Età,Sesso,Anno,Totale
0,Maschi,2019,221685
0,Femmine,2019,209322
1,Maschi,2019,234386
1,Femmine,2019,221360
10,Maschi,2019,292417
10,Femmine,2019,276854
11,Maschi,2019,292452
11,Femmine,2019,275360
12,Maschi,2019,293239
12,Femmine,2019,275337
13,Maschi,2019,291565
13,Femmine,2019,273470
14,Maschi,2019,293836
14,Femmine,2019,277332
15,Maschi,2019,292016
15,Femmine,2019,274845
16,Maschi,2019,290476
16,Femmine,2019,273141
17,Maschi,2019,295127
17,Femmine,2019,275663
18,Maschi,2019,306068
18,Femmine,2019,280805
19,Maschi,2019,307554
19,Femmine,2019,277981
2,Maschi,2019,241671
2,Femmine,2019,229142
20,Maschi,2019,313559
20,Femmine,2019,278559
21,Maschi,2019,310367
21,Femmine,2019,279760
22,Maschi,2019,310066
22,Femmine,2019,281529
23,Maschi,2019,308282
23,Femmine,2019,282222
24,Maschi,2019,310034
24,Femmine,2019,287929
25,Maschi,2019,314552
25,Femmine,2019,295813
26,Maschi,2019,327377
26,Femmine,2019,309013
27,Maschi,2019,325160
27,Femmine,2019,309439
28,Maschi,2019,331737
28,Femmine,2019,315976
29,Maschi,2019,328580
29,Femmine,2019,317952
3,Maschi,2019,248155
3,Femmine,2019,234791
30,Maschi,2019,336140
30,Femmine,2019,325542
31,Maschi,2019,328519
31,Femmine,2019,320439
32,Maschi,2019,329625
32,Femmine,2019,322805
33,Maschi,2019,338601
33,Femmine,2019,333935
34,Maschi,2019,344688
34,Femmine,2019,340206
35,Maschi,2019,350654
35,Femmine,2019,346311
36,Maschi,2019,361816
36,Femmine,2019,359005
37,Maschi,2019,363353
37,Femmine,2019,362537
38,Maschi,2019,373968
38,Femmine,2019,370021
39,Maschi,2019,383565
39,Femmine,2019,383503
4,Maschi,2019,256257
4,Femmine,2019,241983
40,Maschi,2019,404602
40,Femmine,2019,403489
41,Maschi,2019,416373
41,Femmine,2019,417606
42,Maschi,2019,434347
42,Femmine,2019,436238
43,Maschi,2019,453871
43,Femmine,2019,457197
44,Maschi,2019,472267
44,Femmine,2019,476041
45,Maschi,2019,468310
45,Femmine,2019,474216
46,Maschi,2019,473273
46,Femmine,2019,478371
47,Maschi,2019,475915
47,Femmine,2019,484958
48,Maschi,2019,471964
48,Femmine,2019,480428
49,Maschi,2019,483524
49,Femmine,2019,494321
5,Maschi,2019,260616
5,Femmine,2019,246502
50,Maschi,2019,479538
50,Femmine,2019,491414
51,Maschi,2019,479659
51,Femmine,2019,494767
52,Maschi,2019,485399
52,Femmine,2019,497603
53,Maschi,2019,483386
53,Femmine,2019,496845
54,Maschi,2019,488422
54,Femmine,2019,503941
55,Maschi,2019,455137
55,Femmine,2019,475227
56,Maschi,2019,437987
56,Femmine,2019,460125
57,Maschi,2019,427661
57,Femmine,2019,451673
58,Maschi,2019,413040
58,Femmine,2019,437639
59,Maschi,2019,401980
59,Femmine,2019,426948
6,Maschi,2019,272398
6,Femmine,2019,257211
60,Maschi,2019,381659
60,Femmine,2019,409121
61,Maschi,2019,376891
61,Femmine,2019,404686
62,Maschi,2019,367913
62,Femmine,2019,396279
63,Maschi,2019,359220
63,Femmine,2019,388661
64,Maschi,2019,351583
64,Femmine,2019,383041
65,Maschi,2019,335079
65,Femmine,2019,363608
66,Maschi,2019,327125
66,Femmine,2019,358334
67,Maschi,2019,324044
67,Femmine,2019,356386
68,Maschi,2019,333553
68,Femmine,2019,368268
69,Maschi,2019,333082
69,Femmine,2019,369230
7,Maschi,2019,276672
7,Femmine,2019,261137
70,Maschi,2019,343511
70,Femmine,2019,384579
71,Maschi,2019,332677
