Età,Sesso,Anno,Totale
0,Maschi,2015,257024
0,Femmine,2015,242916
1,Maschi,2015,262728
1,Femmine,2015,248720
10,Maschi,2015,293605
10,Femmine,2015,277324
11,Maschi,2015,291357
11,Femmine,2015,274698
12,Maschi,2015,289200
12,Femmine,2015,273046
13,Maschi,2015,292610
13,Femmine,2015,275346
14,Maschi,2015,298910
14,Femmine,2015,279597
15,Maschi,2015,292906
15,Femmine,2015,275346
16,Maschi,2015,293706
16,Femmine,2015,274741
17,Maschi,2015,293354
17,Femmine,2015,274592
18,Maschi,2015,295461
18,Femmine,2015,275267
19,Maschi,2015,296196
19,Femmine,2015,275871
2,Maschi,2015,273801
2,Femmine,2015,259094
20,Maschi,2015,300146
20,Femmine,2015,281729
21,Maschi,2015,306613
21,Femmine,2015,290228
22,Maschi,2015,319072
22,Femmine,2015,303644
23,Maschi,2015,318700
23,Femmine,2015,304910
24,Maschi,2015,323485
24,Femmine,2015,311741
25,Maschi,2015,322677
25,Femmine,2015,313495
26,Maschi,2015,329811
26,Femmine,2015,321616
27,Maschi,2015,322598
27,Femmine,2015,316685
28,Maschi,2015,323838
28,Femmine,2015,319565
29,Maschi,2015,333465
29,Femmine,2015,331866
3,Maschi,2015,277707
3,Femmine,2015,262193
30,Maschi,2015,340419
30,Femmine,2015,338119
31,Maschi,2015,347571
31,Femmine,2015,344702
32,Maschi,2015,358021
32,Femmine,2015,357517
33,Maschi,2015,360733
33,Femmine,2015,361340
34,Maschi,2015,370525
34,Femmine,2015,369258
35,Maschi,2015,382058
35,Femmine,2015,383052
36,Maschi,2015,403200
36,Femmine,2015,403526
37,Maschi,2015,415673
37,Femmine,2015,417966
38,Maschi,2015,434593
38,Femmine,2015,436564
39,Maschi,2015,454973
39,Femmine,2015,457831
4,Maschi,2015,286208
4,Femmine,2015,269439
40,Maschi,2015,473835
40,Femmine,2015,476897
41,Maschi,2015,469871
41,Femmine,2015,475376
42,Maschi,2015,475287
42,Femmine,2015,479818
43,Maschi,2015,478441
43,Femmine,2015,486782
44,Maschi,2015,475327
44,Femmine,2015,482280
45,Maschi,2015,487372
45,Femmine,2015,496417
46,Maschi,2015,483508
46,Femmine,2015,493744
47,Maschi,2015,484199
47,Femmine,2015,496971
48,Maschi,2015,490430
48,Femmine,2015,500680
49,Maschi,2015,489330
49,Femmine,2015,500229
5,Maschi,2015,290660
5,Femmine,2015,274255
50,Maschi,2015,494798
50,Femmine,2015,507939
51,Maschi,2015,461668
51,Femmine,2015,479116
52,Maschi,2015,444572
52,Femmine,2015,464282
53,Maschi,2015,435068
53,Femmine,2015,455881
54,Maschi,2015,420784
54,Femmine,2015,442327
55,Maschi,2015,410440
55,Femmine,2015,432129
56,Maschi,2015,390470
56,Femmine,2015,414508
57,Maschi,2015,386480
57,Femmine,2015,410901
58,Maschi,2015,378206
58,Femmine,2015,402768
59,Maschi,2015,370303
59,Femmine,2015,395793
6,Maschi,2015,293514
6,Femmine,2015,277703
60,Maschi,2015,363367
60,Femmine,2015,390495
61,Maschi,2015,347396
61,Femmine,2015,371465
62,Maschi,2015,340215
62,Femmine,2015,366633
63,Maschi,2015,338447
63,Femmine,2015,365549
64,Maschi,2015,350234
64,Femmine,2015,378570
65,Maschi,2015,351362
65,Femmine,2015,380743
66,Maschi,2015,364783
66,Femmine,2015,397936
67,Maschi,2015,355537
67,Femmine,2015,388513
68,Maschi,2015,352690
68,Femmine,2015,389142
69,Maschi,2015,269542
69,Femmine,2015,300848
7,Maschi,2015,292919
7,Femmine,2015,275863
70,Maschi,2015,274323
70,Femmine,2015,309661
71,Maschi,2015,272828
71,Femmine,2015,313693
72,Maschi,2015,267714
72,Femmine,2015,311586
73,Maschi,2015,264916
73,Femmine,2015,313292
74,Maschi,2015,286601
74,Femmine,2015,343459
75,Maschi,2015,276728
75,Femmine,2015,336287
76,Maschi,2015,261569
76,Femmine,2015,325315
77,Maschi,2015,235069
77,Femmine,2015,299262
78,Maschi,2015,212053
78,Femmine,2015,279834
79,Maschi,2015,208514
79,Femmine,2015,281748
8,Maschi,2015,293483
8,Femmine,2015,275646
80,Maschi,2015,192113
80,Femmine,2015,268941
81,Maschi,2015,176607
81,Femmine,2015,255752
82,Maschi,2015,158764
82,Femmine,2015,241422
83,Maschi,2015,147406
83,Femmine,2015,233353
84,Maschi,2015,138188
84,Femmine,2015,231370
85,Maschi,2015,114599
85,Femmine,2015,200100
86,Maschi,2015,98780
86,Femmine,2015,185248
87,Maschi,2015,84022
87,Femmine,2015,168470
88,Maschi,2015,69610
88,Femmine,2015,149138
89,Maschi,2015,57239
89,Femmine,2015,130480
9,Maschi,2015,292026
9,Femmine,2015,273581
90,Maschi,2015,46367
90,Femmine,2015,112174
91,Maschi,2015,37409
91,Femmine,2015,95805
92,Maschi,2015,28203
92,Femmine,2015,77591
93,Maschi,2015,21417
93,Femmine,2015,63285
94,Maschi,2015,15765
94,Femmine,2015,49376
95,Maschi,2015,7552
95,Femmine,2015,25137
