Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,Totale,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564617
14,Maschi,279971,292236,290590,297175,297319,298835,291052,287739,287118,289631,290404,292462,292206,298910,292798,289177,291323,293836,292112,295760,296180,297185,295569
14,Femmine,264790,276122,276020,281817,280850,283180,274967,270945,269237,271761,272846,274026,275148,279597,275279,272829,274611,277332,273759,277420,278508,280786,278076
14,Totale,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573645
15,Maschi,286758,281176,293625,292249,299218,298832,301582,294126,290499,289271,291412,291460,293083,292906,299427,292769,289397,292016,294506,294449,297220,297394,298883
15,Femmine,272254,265849,277257,277460,283513,282180,285630,277490,273040,270967,273193,273751,274494,275346,279630,275138,272785,274845,277704,275666,278674,279486,282062
15,Totale,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580945
16,Maschi,295986,287317,282748,295661,294591,300870,301159,304613,296991,293035,291036,292705,292208,293706,293672,299939,293398,290476,292771,296085,295963,298845,299700
16,Femmine,282370,272666,267161,278906,279275,284947,284263,288086,279655,274888,272355,274124,274255,274741,275410,279574,275243,273141,275235,278695,276845,279547,280540
16,Totale,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580240
17,Maschi,300400,296722,288237,285199,298336,296764,303591,304083,307701,299729,295328,292756,293718,293354,294786,295044,302253,295127,291807,294149,299478,298641,302297
17,Femmine,285701,282803,273276,269013,281105,280948,287081,286492,290241,281501,276474,273509,274593,274592,274979,275376,279736,275663,273582,275524,280939,277701,280729
17,Totale,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,583026
