Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
59,Femmine,337080,334181,326114,315927,402724,398676,407058,388570,385444,370683,370375,373954,391890,395793,401306,408019,410519,426948,436621,446361,454417,470470,499138
59,Totale,651389,647806,634638,615061,785577,779273,793732,757157,749993,719456,717934,726109,757655,766096,777007,789831,794366,828928,847647,866942,886218,918257,978889
60,Maschi,317142,312448,311934,306795,297257,380949,378750,384666,366604,362209,346670,345464,349971,363367,367712,373298,379375,381659,399772,405934,420605,429758,445861
60,Femmine,342897,336164,333825,325806,315168,402187,398634,407209,388245,384880,369855,369650,372885,390495,394070,399758,406350,409121,425767,432200,445450,454591,469662
60,Totale,660039,648612,645759,632601,612425,783136,777384,791875,754849,747089,716525,715114,722856,753862,761782,773056,785725,790780,825539,838134,866055,884349,915523
61,Maschi,349088,314989,310251,309907,304815,295240,378777,376669,382337,364116,359837,344333,343019,347396,360467,365055,370517,376891,379385,394296,405827,418279,427730
61,Femmine,379810,341841,335319,333183,325030,314166,401801,398578,406834,387857,383904,368874,368357,371465,388687,392325,397946,404686,407946,421054,430828,445337,453553
61,Totale,728898,656830,645570,643090,629845,609406,780578,775247,789171,751973,743741,713207,711376,718861,749154,757380,768463,781577,787331,815350,836655,863616,881283
62,Maschi,345216,346471,312485,307862,307286,302549,292974,376473,374164,379688,361558,357018,341571,340215,344519,357654,362120,367913,374272,373824,393855,403523,416061
62,Femmine,373870,378480,340670,334179,332085,324137,313273,401281,398165,406334,386823,382561,367457,366633,369593,386942,390419,396279,403219,402963,419315,430584,444128
62,Totale,719086,724951,653155,642041,639371,626686,606247,777754,772329,786022,748381,739579,709028,706848,714112,744596,752539,764192,777491,776787,813170,834107,860189
63,Maschi,333879,342175,343399,309759,305216,304824,300216,290749,373839,371553,376695,358507,353753,338447,337144,341549,354672,359220,365197,368091,373144,391182,401180
63,Femmine,364927,372755,377030,339406,332775,331023,323161,312377,400469,397477,405061,385196,380681,365549,364697,367794,385062,388661,394534,398570,400873,418597,429136
63,Totale,698806,714930,720429,649165,637991,635847,623377,603126,774308,769030,781756,743703,734434,703996,701841,709343,739734,747881,759731,766661,774017,809779,830316
64,Maschi,307731,330833,338754,340142,306656,302330,302014,297684,287995,370853,368344,373061,355002,350234,334827,333942,338289,351583,356296,359064,367086,370180,388370
64,Femmine,340237,363759,371531,375270,337812,331289,329745,322370,311253,399412,396227,403174,383108,378570,363373,362669,365709,383041,386962,390100,396301,400259,417065
64,Totale,647968,694592,710285,715412,644468,633619,631759,620054,599248,770265,764571,776235,738110,728804,698200,696611,703998,734624,743258,749164,763387,770439,805435
65,Maschi,292289,304794,327434,335224,336566,303552,299525,299221,294812,285002,367416,364463,369118,351362,346468,331416,330506,335079,348378,350200,357674,363931,367172
65,Femmine,329638,339141,362478,370117,373404,336232,329688,328561,321074,309954,397814,394031,400647,380743,376067,361030,360443,363608,381206,382732,387503,395446,398413
65,Totale,621927,643935,689912,705341,709970,639784,629213,627782,615886,594956,765230,758494,769765,732105,722535,692446,690949,698687,729584,732932,745177,759377,765585
66,Maschi,298656,288470,301424,323834,331291,332664,300281,296414,296051,291815,281885,363027,360211,364783,347240,342570,327913,327125,331878,342178,348305,354269,360685
66,Femmine,339492,327779,337787,361028,368160,371203,334244,328237,327098,319607,308433,395395,391258,397936,378044,373652,358837,358334,361610,376946,379960,386248,393327
66,Totale,638148,616249,639211,684862,699451,703867,634525,624651,623149,611422,590318,758422,751469,762719,725284,716222,686750,685459,693488,719124,728265,740517,754012
67,Maschi,287723,294246,284153,297531,319595,326901,328524,296493,292785,292293,288280,278120,357958,355537,359887,342718,338185,324044,323404,325411,339780,344662,350799
67,Femmine,332287,337314,325670,336316,358951,366025,368827,332433,326368,325189,317979,306228,392470,388513,394927,375279,371028,356386,356098,357196,373354,378252,383711
67,Totale,620010,631560,609823,633847,678546,692926,697351,628926,619153,617482,606259,584348,750428,744050,754814,717997,709213,680430,679502,682607,713134,722914,734510
68,Maschi,280088,283133,289320,279574,293170,314914,322183,324201,292233,288700,288316,283968,273815,352690,350198,354712,338055,333553,320057,319361,323307,335934,340770
68,Femmine,327011,329963,334836,323362,334367,356823,363578,366469,330172,324140,323143,315606,303629,389142,385242,391756,372375,368268,353899,353270,354570,371628,375749
68,Totale,607099,613096,624156,602936,627537,671737,685761,690670,622405,612840,611459,599574,577444,741832,735440,746468,710430,701821,673956,672631,677877,707562,716519
69,Maschi,268085,274779,277868,284005,274546,288608,309955,317252,319144,287713,284304,283581,279245,269542,346792,344748,349193,333082,329023,315798,314146,318955,332025
69,Femmine,322080,324493,327241,332101,320704,332305,354476,361096,363683,327531,321761,320373,312739,300848,385509,381850,388241,369230,365461,351241,348843,352187,369420
69,Totale,590165,599272,605109,616106,595250,620913,664431,678348,682827,615244,606065,603954,591984,570390,732301,726598,737434,702312,694484,667039,662989,671142,701445
70,Maschi,266650,262273,268910,272377,278203,269358,283630,304583,311724,313720,282976,279070,278239,274323,264627,340863,338859,343511,328058,324134,309999,309188,314318
70,Femmine,326356,319013,321349,324361,328968,317682,329875,352068,358198,360445,324795,318785,317047,309661,297725,381705,378008,384579,366082,362392,346511,346323,349292
70,Totale,593006,581286,590259,596738,607171,587040,613505,656651,669922,674165,607771,597855,595286,583984,562352,722568,716867,728090,694140,686526,656510,655511,663610
71,Maschi,270106,260102,255734,262821,266279,272415,263806,278351,298766,305753,307960,277329,273468,272828,268994,259602,334372,332677,337758,322436,317704,304607,304083
71,Femmine,338662,322608,315206,318004,321104,325689,314379,327317,349080,354816,357098,321350,315237,313693,306256,294474,377512,373966,381061,362533,357328,343361,342972
71,Totale,608768,582710,570940,580825,587383,598104,578185,605668,647846,660569,665058,598679,588705,586521,575250,554076,711884,706643,718819,684969,675032,647968,647055
72,Maschi,242350,262663,252750,249060,255973,259950,266016,257907,272553,292447,299524,301397,271197,267714,266724,263439,254147,327411,326516,331255,315416,311434,298980
72,Femmine,308947,334410,318217,311399,314310,317518,321952,311009,323938,345690,351158,352887,317400,311586,309729,302586,290767,373031,370061,377092,357140,353764,339697
72,Totale,551297,597073,570967,560459,570283,577468,587968,568916,596491,638137,650682,654284,588597,579300,576453,566025,544914,700442,696577,708347,672556,665198,638677
73,Maschi,232157,234806,254691,245250,241826,248837,253261,259341,251240,266317,285869,292337,294134,264916,261148,260372,257271,248503,320411,319265,323313,308691,305037
73,Femmine,304100,304704,329365,313627,306840,310132,313658,318016,306987,320479,341772,346553,348255,313292,307140,305626,298366,286936,368668,365772,371104,353143,349450
73,Totale,536257,539510,584056,558877,548666,558969,566919,577357,558227,586796,627641,638890,642389,578208,568288,565998,555637,535439,689079,685037,694417,661834,654487
74,Maschi,221866,224282,226546,246467,237340,234543,241432,246093,252049,244233,259553,278178,284585,286601,257933,254420,253537,250729,242563,312420,310853,315600,301868
74,Femmine,297974,299405,299420,324117,308467,302067,305605,309203,313406,302571,316296,336737,341565,343459,308429,302547,301054,294077,283182,363872,359551,366069,348453
74,Totale,519840,523687,525966,570584,545807,536610,547037,555296,565455,546804,575849,614915,626150,630060,566362,556967,554591,544806,525745,676292,670404,681669,650321
75,Maschi,206836,214050,215526,218297,237669,229293,226560,233671,238282,244366,237140,251820,270055,276728,278103,250642,247035,246473,244277,235648,303291,302476,307840
75,Femmine,289731,292910,293746,294109,317998,302897,296773,300445,304193,308260,297983,311125,331186,336287,337725,303385,297431,296099,289606,278760,356948,354023,360537
75,Totale,496567,506960,509272,512406,555667,532190,523333,534116,542475,552626,535123,562945,601241,613015,615828,554027,544466,542572,533883,514408,660239,656499,668377
76,Maschi,195484,198355,205374,206827,209551,228663,220503,218239,225328,230152,236452,229025,243711,261569,267718,269390,242491,239355,239378,236450,227616,294157,294064
76,Femmine,283492,283855,286665,287957,288040,311500,296747,291121,294627,298435,302676,292442,305376,325315,329979,331814,297729,292150,291246,284553,272894,350711,347927
76,Totale,478976,482210,492039,494784,497591,540163,517250,509360,519955,528587,539128,521467,549087,586884,597697,601204,540220,531505,530624,521003,500510,644868,641991
77,Maschi,182007,186635,189198,196987,197589,200616,219222,211311,209318,216719,221687,227563,220598,235069,251863,258690,259761,234110,231750,230615,227767,219562,284834
77,Femmine,272342,276515,276807,280532,281336,281460,304305,289745,284433,288418,292181,296314,286405,299262,318372,323180,324864,291653,286596,285333,278056,267324,343900
77,Totale,454349,463150,466005,477519,478925,482076,523527,501056,493751,505137,513868,523877,507003,534331,570235,581870,584625,525763,518346,515948,505823,486886,628734
78,Maschi,170675,173240,176881,180024,187874,188203,191462,209334,201448,200162,207810,212174,218284,212053,225536,242331,248606,250102,225808,222215,221025,218972,211931
78,Femmine,266140,265108,268535,269595,273248,274293,274199,296385,282067,277061,281554,285070,289329,279834,291763,311084,315430,317534,285508,279972,278075,271655,261173
78,Totale,436815,438348,445416,449619,461122,462496,465661,505719,483515,477223,489364,497244,507613,491887,517299,553415,564036,567636,511316,502187,499100,490627,473104
79,Maschi,155308,159921,163588,167624,170586,178794,178378,181457,198693,191492,190524,197850,202297,208514,202151,215848,231777,238254,240020,215706,211994,211468,210342
79,Femmine,255925,258060,256538,260379,261379,265384,266285,266101,287443,273713,269405,273683,277333,281748,271832,284208,302592,307068,309824,277958,271851,270587,264845
79,Totale,411233,417981,420126,428003,431965,444178,444663,447558,486136,465205,459929,471533,479630,490262,473983,500056,534369,545322,549844,493664,483845,482055,475187
80,Maschi,140864,144806,148236,153267,157199,160877,168826,167825,171202,187170,181207,180034,187304,192113,197720,192451,205214,220747,227517,227503,204923,201754,202021
80,Femmine,243600,247392,248691,247719,251114,252818,256626,257247,257051,277831,264941,260768,265009,268941,272564,263653,275421,293682,298567,300257,269090,263597,262650
80,Totale,384464,392198,396927,400986,408313,413695,425452,425072,428253,465001,446148,440802,452313,461054,470284,456104,480635,514429,526084,527760,474013,465351,464671
81,Maschi,130286,129717,133013,136382,142361,147084,150518,157723,156783,160301,174754,170235,169272,176607,180907,186918,181546,194208,209720,214560,214994,193892,191608
81,Femmine,229180,234367,237164,239120,237869,241154,242848,246769,247272,247053,267765,255072,251571,255752,259008,263179,254323,265955,284151,288098,289391,259877,254887
81,Totale,359466,364084,370177,375502,380230,388238,393366,404492,404055,407354,442519,425307,420843,432359,439915,450097,435869,460163,493871,502658,504385,453769,446495
82,Maschi,78010,116995,118645,122668,124189,129904,136173,139637,146611,144963,149547,162554,158781,158764,164759,169654,174921,170547,183104,195982,201163,201752,182933
82,Femmine,140926,219408,223016,227127,228040,227369,230169,231758,235851,236524,236652,256292,244531,241422,244593,248719,252162,244166,255966,272579,276268,277832,250132
82,Totale,218936,336403,341661,349795,352229,357273,366342,371395,382462,381487,386199,418846,403312,400186,409352,418373,427083,414713,439070,468561,477431,479584,433065
83,Maschi,54136,70850,103118,108680,111451,113418,117044,122388,125872,132849,133558,137790,150477,147406,146783,153241,157393,163189,159380,169321,182174,187379,188829
83,Femmine,101434,133133,207775,211874,215469,215783,215473,217665,219844,224073,225044,225089,244227,233353,229533,233268,236817,240485,233554,243701,259546,263599,265675
83,Totale,155570,203983,310893,320554,326920,329201,332517,340053,345716,356922,358602,362879,394704,380759,376316,386509,394210,403674,392934,413022,441720,450978,454504
84,Maschi,51311,48660,63598,92784,98080,100431,102624,105589,110219,113902,117944,121692,126266,138188,134914,135171,140744,145398,151066,145752,156136,167906,174057
84,Femmine,98414,94892,124334,194478,198579,202869,202735,202168,204448,206958,211647,212333,212887,231370,219734,217424,220396,224338,228511,220210,230238,245636,250543
84,Totale,149725,143552,187932,287262,296659,303300,305359,307757,314667,320860,329591,334025,339153,369558,354648,352595,361140,369736,379577,365962,386374,413542,424600
85,Maschi,57260,45434,43065,56943,82922,88176,90132,92900,95379,99666,102648,106086,110172,114599,124952,122931,122794,128393,132945,136315,132632,142357,154318
85,Femmine,113611,91165,87596,116046,179652,184893,189124,188729,188080,190600,193449,197679,199094,200100,216264,206292,203753,206790,211312,213540,206074,215951,231568
85,Totale,170871,136599,130661,172989,262574,273069,279256,281629,283459,290266,296097,303765,309266,314699,341216,329223,326547,335183,344257,349855,338706,358308,385886
86,Maschi,63204,50189,39566,37860,50186,73670,78360,79806,83358,85790,89057,91117,94859,98780,102058,112240,110032,110640,115967,118356,122383,119118,129310
86,Femmine,131070,104160,83029,80679,106521,164603,169886,174564,173747,173739,176259,178928,183266,185248,185166,201195,191007,189589,192830,195261,197860,190900,201391
86,Totale,194274,154349,122595,118539,156707,238273,248246,254370,257105,259529,265316,270045,278125,284028,287224,313435,301039,300229,308797,313617,320243,310018,330701
87,Maschi,55684,54627,42904,34425,32713,43676,64516,68713,70011,74388,75568,77842,80117,84022,86724,90570,99045,97788,98570,101657,104653,108115,106580
87,Femmine,119013,118198,93491,75875,73163,97199,148854,153863,158391,158557,158729,160835,164164,168470,169076,170537,184256,175587,174836,175772,178743,180952,175795
87,Totale,174697,172825,136395,110300,105876,140875,213370,222576,228402,232945,234297,238677,244281,252492,255800,261107,283301,273375,273406,277429,283396,289067,282375
88,Maschi,48619,47420,46042,36736,29349,27997,37613,55639,59444,60837,64787,64975,67163,69610,72431,75497,78408,86747,85751,84718,88175,90989,95175
88,Femmine,106928,105238,103055,84009,67976,65858,87179,132046,136290,140742,142577,142792,145744,149138,151869,153693,154077,167490,159752,157267,158660,160844,164400
88,Totale,155547,152658,149097,120745,97325,93855,124792,187685,195734,201579,207364,207767,212907,218748,224300,229190,232485,254237,245503,241985,246835,251833,259575
89,Maschi,39876,40424,39049,38602,30671,24918,23577,31743,47648,50638,51941,54651,55318,57239,58874,62055,64174,67202,74576,72167,72142,74831,78602
89,Femmine,93168,91227,88777,90145,73887,60276,58362,76933,117639,121334,122092,126324,127451,130480,131864,135815,136402,137574,150085,141049,139930,140419,144433
89,Totale,133044,131651,127826,128747,104558,85194,81939,108676,165287,171972,174033,180975,182769,187719,190738,197870,200576,204776,224661,213216,212072,215250,223035
90,Maschi,30018,32581,32661,32179,31493,25460,20626,19486,26278,40285,42398,43102,45541,46367,47285,49465,51737,53941,56540,61359,60361,59756,63218
90,Femmine,75102,79856,77057,77023,77438,64430,52648,50723,66724,102945,105576,106197,110823,112174,113300,116076,118638,119934,121480,130133,123386,121773,123444
90,Totale,105120,112437,109718,109202,108931,89890,73274,70209,93002,143230,147974,149299,156364,158541,160585,165541,170375,173875,178020,191492,183747,181529,186662
91,Maschi,23792,23915,25684,26330,25952,25690,20518,16651,15826,21452,33288,34376,35120,37409,37499,38744,40143,42805,44385,45462,50024,48855,49543
91,Femmine,62399,63138,66372,65662,65223,66167,55188,44873,43240,57204,88526,90055,91708,95805,95411,98132,99427,102465,103848,103024,111473,104919,105054
91,Totale,86191,87053,92056,91992,91175,91857,75706,61524,59066,78656,121814,124431,126828,133214,132910,136876,139570,145270,148233,148486,161497,153774,154597
92,Maschi,16128,18639,18343,20232,20568,20481,20285,16225,13105,12581,17333,26385,27352,28203,29601,30050,30650,32334,34603,34525,36098,39332,39224
92,Femmine,46385,51320,51390,55571,54320,55024,55527,46367,37600,36323,48310,73811,76257,77591,79857,80943,82326,84147,86770,85660,86552,92832,88811
92,Totale,62513,69959,69733,75803,74888,75505,75812,62592,50705,48904,65643,100196,103609,105794,109458,110993,112976,116481,121373,120185,122650,132164,128035
93,Maschi,11500,12293,14038,14184,15515,15945,15939,15640,12546,10234,9992,13408,20601,21417,21657,23238,23208,24059,25393,26278,26727,27464,30701
93,Femmine,35736,37424,40661,42065,45028,44855,45437,45585,37960,31168,30023,39462,60836,63285,63309,66322,66497,68264,69890,70004,70213,70257,76769
93,Totale,47236,49717,54699,56249,60543,60800,61376,61225,50506,41402,40015,52870,81437,84702,84966,89560,89705,92323,95283,96282,96940,97721,107470
94,Maschi,7385,8472,8989,10680,10572,11716,12071,11878,11813,9555,7914,7537,10166,15765,16099,16590,17466,17734,18209,18570,19723,19574,20854
94,Femmine,24856,28133,28824,32529,33072,36080,36006,36675,37162,30787,25347,23847,31669,49376,50295,51497,53178,53762,55242,54643,55782,55020,56482
94,Totale,32241,36605,37813,43209,43644,47796,48077,48553,48975,40342,33261,31384,41835,65141,66394,68087,70644,71496,73451,73213,75505,74594,77336
95,Maschi,5180,5312,5973,6613,7635,7690,8642,8808,8798,8855,7250,5820,5485,7552,11326,11864,12074,13009,13171,12913,13473,13952,14421
95,Femmine,18183,18999,20981,22377,24872,25859,28062,28132,29293,29881,24478,19690,18744,25137,38015,39690,40152,41874,42478,41947,42582,42500,43022
95,Totale,23363,24311,26954,28990,32507,33549,36704,36940,38091,38736,31728,25510,24229,32689,49341,51554,52226,54883,55649,54860,56055,56452,57443
96,Maschi,3470,3718,3605,4264,4583,5490,5502,6057,6281,6392,6605,5138,4227,3998,5302,8179,8400,8761,9311,9066,9083,9180,9933
96,Femmine,12930,13536,13889,15791,16539,18856,19552,21233,21805,23388,23467,18384,15148,14515,18968,29445,30307,31075,32136,31227,31719,31452,32104
96,Totale,16400,17254,17494,20055,21122,24346,25054,27290,28086,29780,30072,23522,19375,18513,24270,37624,38707,39836,41447,40293,40802,40632,42037
97,Maschi,2107,2386,2461,2483,2831,3218,3779,3764,4264,4411,4745,4490,3562,2994,2721,3704,5626,5941,6123,6167,6196,5879,6340
97,Femmine,8874,9411,9519,10275,11240,12138,13780,14415,15939,16894,18051,17149,13596,11489,10525,14256,21681,22901,23179,22849,22975,22541,23031
97,Totale,10981,11797,11980,12758,14071,15356,17559,18179,20203,21305,22796,21639,17158,14483,13246,17960,27307,28842,29302,29016,29171,28420,29371
98,Maschi,1252,1406,1531,1668,1647,1869,2136,2499,2539,2955,3132,3169,2994,2435,1992,1882,2445,3829,4007,3998,4117,4000,3950
98,Femmine,5586,6237,6370,6837,7078,8019,8735,9850,10438,11785,12634,12956,12368,9951,8150,7725,10250,15821,16553,16115,16411,15836,16264
98,Totale,6838,7643,7901,8505,8725,9888,10871,12349,12977,14740,15766,16125,15362,12386,10142,9607,12695,19650,20560,20113,20528,19836,20214
99,Maschi,861,867,891,1005,1062,1048,1196,1413,1616,1678,2066,2058,2043,1998,1534,1314,1264,1616,2529,2526,2571,2528,2659
99,Femmine,4005,3835,4080,4406,4620,4897,5447,6056,6931,7529,8725,8647,9110,8730,6724,5831,5425,7369,10892,11109,11171,10875,11180
99,Totale,4866,4702,4971,5411,5682,5945,6643,7469,8547,9207,10791,10705,11153,10728,8258,7145,6689,8985,13421,13635,13742,13403,13839
100 e oltre,Maschi,978,1201,1298,1479,1544,1649,1701,1811,1951,2136,2543,2752,2914,3026,2913,2671,2334,2175,2332,2847,3287,3454,3600
100 e oltre,Femmine,5143,5892,5902,6616,6994,7473,7874,8347,9346,10970,12892,13453,14338,15394,14785,13887,12650,11957,12472,14330,16427,16991,17611
100 e oltre,Totale,6121,7093,7200,8095,8538,9122,9575,10158,11297,13106,15435,16205,17252,18420,17698,16558,14984,14132,14804,17177,19714,20445,21211
Totale,Maschi,27588289,27687048,27903719,28128308,28250293,28354758,28584441,28781255,28903027,29014829,29090347,29193899,29241521,29228315,29193044,29178654,29156469,29131195,29050096,28866226,28818956,28814832,28846728
Totale,Femmine,29404981,29499330,29708271,29916060,30038703,30155967,30417328,30639337,30787289,30933668,31014838,31083410,31104396,31067182,30970668,30888080,30781300,30685478,30591392,30369987,30211177,30182369,30124502
Totale,Totale,56993270,57186378,57611990,58044368,58288996,58510725,59001769,59420592,59690316,59948497,60105185,60277309,60345917,60295497,60163712,60066734,59937769,59816673,59641488,59236213,59030133,58997201,58971230
