Età,Anno,Totale maschi,Totale femmine,Totale,Totale maschi -1,Totale femmine -1,Totale -1,Totale maschi -2,Totale femmine -2,Totale -2,Totale maschi -3,Totale femmine -3,Totale -3,Totale maschi -4,Totale femmine -4,Totale -4,Totale maschi -5,Totale femmine -5,Totale -5
0,2002,268276,254731,523007,274518,259054,533572,272792,258707,531499,270959,255666,526625,273404,258674,532078,273472,258096,531568
1,2002,271976,257257,529233,271686,258000,529686,269376,254461,523837,270301,255967,526268,271549,256424,527973,268728,253591,522319
2,2002,270620,257511,528131,268009,253275,521284,268321,254294,522615,270552,255675,526227,268475,253479,521954,272417,257543,529960
3,2002,266706,252084,518790,266437,252662,519099,269711,255042,524753,268351,253565,521916,271667,256950,528617,279718,264921,544639
4,2002,264829,251128,515957,268841,254366,523207,268274,253600,521874,271017,256529,527546,278860,264305,543165,290732,275669,566401
5,2002,268123,253760,521883,268120,253597,521717,270494,256127,526621,278324,263880,542204,290059,275153,565212,273657,259476,533133
6,2002,268085,253689,521774,269896,255658,525554,277828,263498,541326,289596,274887,564483,277272,262772,540044,278264,264343,542607
7,2002,269530,255399,524929,277278,263025,540303,289156,274669,563825,280841,266041,546882,281425,267293,548718,277396,264044,541440
8,2002,276926,262711,539637,288717,274342,563059,284236,269050,553286,284385,270156,554541,279695,266174,545869,280479,265713,546192
9,2002,288501,274159,562660,287799,272245,560044,287390,272949,560339,281842,268147,549989,282659,267637,550296,272273,258519,530792
10,2002,291170,275204,566374,290480,275820,566300,284025,270075,554100,284707,269525,554232,273896,259759,533655,276998,263240,540238
11,2002,293330,278439,571769,286194,272129,558323,286776,271288,558064,275401,261019,536420,279050,265187,544237,287181,274665,561846
12,2002,288266,274015,562281,288884,273151,562035,276864,262284,539148,280996,266993,547989,289045,276325,565370,292133,278710,570843
13,2002,290996,274955,565951,278359,263524,541883,282929,268768,551697,290802,277870,568672,293872,280137,574009,300935,285946,586881
14,2002,279971,264790,544761,284992,270600,555592,292507,279324,571831,295479,281507,576986,302586,287349,589935,311102,297975,609077
15,2002,286758,272254,559012,294336,280947,575283,297087,282896,579983,304113,288730,592843,313079,299621,612700,317236,304241,621477
16,2002,295986,282370,578356,298797,284365,583162,305639,290085,595724,314848,301214,616062,318655,305701,624356,324159,310002,634161
17,2002,300400,285701,586101,307354,291517,598871,316652,302794,619446,319965,307152,627117,325578,311582,637160,335784,322034,657818
18,2002,308834,292943,601777,318587,304528,623115,321417,308668,630085,326986,313136,640122,336904,323400,660304,356566,342919,699485
19,2002,320091,306107,626198,322854,310294,633148,328420,314857,643277,337796,325004,662800,356999,343717,700716,370810,358365,729175
20,2002,323918,311733,635651,329992,317038,647030,338934,326774,665708,357355,344738,702093,370999,359207,730206,392035,379331,771366
21,2002,331241,319016,650257,340339,328815,669154,357946,345867,703813,371060,360280,731340,392106,380365,772471,415933,403916,819849
22,2002,341392,330636,672028,358858,347415,706273,371410,361451,732861,392081,381539,773620,416019,405204,821223,436312,424223,860535
23,2002,359526,348868,708394,371939,362946,734885,392272,382855,775127,416003,406568,822571,435955,425103,861058,438513,427393,865906
24,2002,372477,364365,736842,392702,384465,777167,416193,407944,824137,435451,426002,861453,437985,428185,866170,446743,434357,881100
25,2002,393202,385996,779198,416753,409659,826412,435260,426958,862218,437435,428928,866363,445986,435185,881171,455983,444623,900606
26,2002,417331,411288,828619,435280,428247,863527,437053,429710,866763,445402,435992,881394,455044,445228,900272,451017,440422,891439
27,2002,435484,429526,865010,437042,430741,867783,444865,436844,881709,454102,445819,899921,450539,441195,891734,465077,455074,920151
28,2002,437208,432426,869634,444591,437816,882407,453317,446371,899688,449863,441977,891840,464598,455727,920325,459638,449236,908874
29,2002,444829,438839,883668,452668,447054,899722,449237,442753,891990,464073,456485,920558,458993,449522,908515,463161,455258,918419
30,2002,452979,447945,900924,448919,443519,892438,463601,457093,920694,458239,449907,908146,462364,455179,917543,477173,470184,947357
31,2002,448928,444238,893166,463286,457812,921098,457522,450167,907689,461436,455080,916516,476520,470078,946598,477383,471849,949232
32,2002,463220,458147,921367,457063,450488,907551,460539,454899,915438,475663,470055,945718,476592,471768,948360,485551,479233,964784
33,2002,456815,451097,907912,459808,454802,914610,474868,469938,944806,475782,471762,947544,484534,478807,963341,454851,453395,908246
34,2002,459019,455802,914821,474211,469876,944087,474952,471658,946610,483447,478423,961870,454369,453383,907752,440798,440572,881370
35,2002,473799,470041,943840,474259,471598,945857,482403,477984,960387,453819,453413,907232,440407,440657,881064,435451,434957,870408
36,2002,474668,471821,946489,481438,477596,959034,453313,453372,906685,439925,440780,880705,434840,435076,869916,420305,421381,841686
37,2002,481113,477379,958492,452916,453359,906275,439417,440824,880241,434137,435151,869288,419985,421769,841754,412889,411686,824575
38,2002,452721,453404,906125,438985,440898,879883,433443,435197,868640,419460,422041,841501,412343,411617,823960,394871,395919,790790
39,2002,438786,440985,879771,432833,435291,868124,418946,422292,841238,411628,411517,823145,394217,395517,789734,392771,394012,786783
40,2002,432370,435359,867729,418535,422584,841119,410945,411332,822277,393447,395125,788572,391790,393382,785172,388551,391742,780293
41,2002,418288,422817,841105,410353,411209,821562,392684,394625,787309,390686,392667,783353,387659,391287,778946,383296,387201,770497
42,2002,409871,411070,820941,392015,394174,786189,389480,391891,781371,386730,390765,777495,382416,386919,769335,379881,385742,765623
43,2002,391514,393856,785370,388385,391195,779580,385714,390195,775909,381458,386576,768034,378739,385215,763954,365659,368917,734576
44,2002,387490,390625,778115,384764,389636,774400,380435,386210,766645,377529,384618,762147,364732,368523,733255,363915,370068,733983
45,2002,383939,389134,773073,379469,385858,765327,376195,384003,760198,363635,368087,731722,362817,369717,732534,364657,371878,736535
46,2002,378601,385440,764041,374931,383394,758325,362490,367585,730075,361669,369317,730986,363544,371675,735219,380999,388532,769531
47,2002,373714,382686,756400,361363,367075,728438,360384,368886,729270,362308,371361,733669,379704,388253,767957,384952,390968,775920
48,2002,360223,366465,726688,359177,368428,727605,361003,371101,732104,378326,387973,766299,383426,390169,773595,404598,411996,816594
49,2002,357894,367808,725702,359681,370838,730519,376871,387596,764467,381924,389318,771242,402625,410845,813470,398059,404654,802713
50,2002,358245,370295,728540,375362,387213,762575,380208,388371,768579,400625,409611,810236,395863,403193,799056,401011,410498,811509
51,2002,373760,386595,760355,378475,387444,765919,398549,408345,806894,393548,401805,795353,398584,409079,807663,313316,321725,635041
52,2002,376649,386417,763066,396336,406991,803327,391061,400272,791333,395977,407505,803482,311609,320870,632479,322888,332465,655353
53,2002,394008,405554,799562,388539,398724,787263,393227,405923,799150,309786,319974,629760,320812,331420,652232,327196,340263,667459
54,2002,386053,397265,783318,390498,404352,794850,307791,319040,626831,318652,330385,649037,325034,339340,664374,327826,343240,671066
55,2002,387731,402793,790524,305757,318052,623809,316318,329266,645584,322801,338357,661158,325316,342227,667543,331315,348333,679648
56,2002,303624,316897,620521,313884,328093,641977,320423,337229,657652,322785,341046,663831,328791,347461,676252,365596,386766,752362
57,2002,311363,326841,638204,317919,336047,653966,320036,339874,659910,326091,346480,672571,362579,385530,748109,362786,382223,745009
58,2002,315356,334764,650120,317237,338588,655825,323196,345453,668649,359391,384224,743615,359663,380840,740503,353097,374960,728057
59,2002,314309,337080,651389,320286,344323,664609,356064,382874,738938,356353,379313,735666,349718,373098,722816,327813,351081,678894
60,2002,317142,342897,660039,352667,381448,734115,352712,377676,730388,346073,371198,717271,324165,349122,673287,312463,339956,652419
61,2002,349088,379810,728898,349141,375866,725007,342149,369189,711338,320283,347117,667400,308725,338131,646856,321145,350506,671651
62,2002,345216,373870,719086,337992,367117,705109,316212,344913,661125,304789,336214,641003,316964,348639,665603,312257,344913,657170
63,2002,333879,364927,698806,311982,342553,654535,300794,334197,634991,312730,346509,659239,307796,342637,650433,306888,341093,647981
64,2002,307731,340237,647968,296627,332067,628694,308164,344395,652559,303010,340284,643294,301981,338599,640580,296355,336687,633042
65,2002,292289,329638,621927,303479,342045,645524,298080,337798,635878,296713,335878,632591,291123,334220,625343,297800,341658,639458
66,2002,298656,339492,638148,292968,335193,628161,291318,333086,624404,285665,331555,617220,292176,339096,631272,306182,357525,663707
67,2002,287723,332287,620010,285833,330219,616052,280018,328586,608604,286014,336229,622243,299589,354363,653952,277632,328491,606123
68,2002,280088,327011,607099,274094,325469,599563,279655,333154,612809,292442,350762,643204,271074,325012,596086,271792,326676,598468
69,2002,268085,322080,590165,273185,329922,603107,285049,346965,632014,264114,321401,585515,264421,322770,587191,264284,324563,588847
70,2002,266650,326356,593006,277736,342918,620654,256989,317555,574544,256394,318466,574860,256327,319877,576204,251398,318693,570091
71,2002,270106,338662,608768,249778,313375,563153,248339,313969,562308,247864,314825,562689,242953,313649,556602,241595,313760,555355
72,2002,242350,308947,551297,240286,309261,549547,239183,309503,548686,233926,308189,542115,232952,308586,541538,230254,306092,536346
73,2002,232157,304100,536257,230596,303817,534413,224940,302385,527325,223742,302816,526558,221262,300247,521509,221359,303259,524618
74,2002,221866,297974,519840,215784,296258,512042,214254,296800,511054,211727,293874,505601,212073,296884,508957,205539,296820,502359
75,2002,206836,289731,496567,204994,290337,495331,201941,287151,489092,202201,289873,492074,195945,289847,485792,194118,286805,480923
76,2002,195484,283492,478976,191876,279962,471838,192032,282390,474422,185879,282035,467914,184349,279372,463721,183976,278063,462039
77,2002,182007,272342,454349,181795,274509,456304,175753,273681,449434,174102,271164,445266,173561,269495,443056,112997,174590,287587
78,2002,170675,266140,436815,165655,265010,430665,163783,262398,426181,162694,260180,422874,106151,168516,274667,81659,130365,212024
79,2002,155308,255925,411233,153503,253202,406705,151957,250319,402276,99068,162116,261184,76192,125280,201472,81383,131229,212612
80,2002,140864,243600,384464,141121,239969,381090,91906,155244,247150,70349,119739,190088,75277,125398,200675,94825,157716,252541
81,2002,130286,229180,359466,84964,148109,233073,64708,113851,178559,69100,118958,188058,87217,149805,237022,110327,188998,299325
82,2002,78010,140926,218936,59346,107688,167034,62890,112156,175046,79423,141040,220463,100435,178412,278847,103604,183608,287212
83,2002,54136,101434,155570,57106,105201,162307,71622,131937,203559,90747,167048,257795,93703,172042,265745,95018,171935,266953
84,2002,51311,98414,149725,64170,122753,186923,81048,154996,236044,83351,159629,242980,85038,159732,244770,84620,158280,242900
85,2002,57260,113611,170871,71635,142994,214629,73502,146814,220316,75090,146746,221836,74669,145707,220376,67962,134951,202913
86,2002,63204,131070,194274,63978,133846,197824,65440,133539,198979,65026,132360,197386,59311,122687,181998,58729,121865,180594
87,2002,55684,119013,174697,56626,120366,176992,55778,118769,174547,50731,110157,160888,50390,109359,159749,45270,99612,144882
88,2002,48619,106928,155547,47297,105797,153094,43062,97909,140971,42474,96797,139271,38119,87854,125973,35967,84788,120755
89,2002,39876,93168,133044,36180,85854,122034,35345,84389,119734,31479,76285,107764,29679,73759,103438,26092,65660,91752
90,2002,30018,75102,105120,29272,72885,102157,25615,65363,90978,23998,62675,86673,21127,55887,77014,20279,53743,74022
91,2002,23792,62399,86191,20510,55306,75816,19198,52435,71633,16650,46773,63423,16074,44811,60885,15691,40001,55692
92,2002,16128,46385,62513,15007,43448,58455,12931,38372,51303,12400,36635,49035,12182,32691,44873,10647,31040,41687
93,2002,11500,35736,47236,9794,30940,40734,9499,29442,38941,9222,26182,35404,7980,24647,32627,7380,22361,29741
94,2002,7385,24856,32241,7131,23362,30493,6771,20530,27301,5835,19243,25078,5431,17545,22976,5416,17587,23003
95,2002,5180,18183,23363,4925,16128,21053,4200,14781,18981,3844,13339,17183,3951,13526,17477,3680,12254,15934
96,2002,3470,12930,16400,3023,11380,14403,2726,10011,12737,2856,10106,12962,2689,9256,11945,2571,8426,10997
97,2002,2107,8874,10981,1877,7456,9333,1976,7445,9421,1919,6724,8643,1715,6062,7777,1472,5501,6973
98,2002,1252,5586,6838,1366,5554,6920,1404,4896,6300,1120,4291,5411,951,3824,4775,868,3545,4413
99,2002,861,4005,4866,1103,3533,4636,792,3118,3910,587,2580,3167,560,2380,2940,639,2410,3049
100,2002,978,5143,6121,938,4497,5435,794,3971,4765,774,3742,4516,756,3621,4377,735,3280,4015
0,2003,275022,260634,535656,268276,254731,523007,274518,259054,533572,272792,258707,531499,270959,255666,526625,273404,258674,532078
1,2003,270053,256524,526577,271976,257257,529233,271686,258000,529686,269376,254461,523837,270301,255967,526268,271549,256424,527973
2,2003,273992,259134,533126,270620,257511,528131,268009,253275,521284,268321,254294,522615,270552,255675,526227,268475,253479,521954
3,2003,272154,258693,530847,266706,252084,518790,266437,252662,519099,269711,255042,524753,268351,253565,521916,271667,256950,528617
4,2003,268722,253762,522484,264829,251128,515957,268841,254366,523207,268274,253600,521874,271017,256529,527546,278860,264305,543165
5,2003,266989,252885,519874,268123,253760,521883,268120,253597,521717,270494,256127,526621,278324,263880,542204,290059,275153,565212
6,2003,270076,255358,525434,268085,253689,521774,269896,255658,525554,277828,263498,541326,289596,274887,564483,277272,262772,540044
7,2003,269977,255117,525094,269530,255399,524929,277278,263025,540303,289156,274669,563825,280841,266041,546882,281425,267293,548718
8,2003,271567,257147,528714,276926,262711,539637,288717,274342,563059,284236,269050,553286,284385,270156,554541,279695,266174,545869
9,2003,278853,264414,543267,288501,274159,562660,287799,272245,560044,287390,272949,560339,281842,268147,549989,282659,267637,550296
10,2003,290204,275716,565920,291170,275204,566374,290480,275820,566300,284025,270075,554100,284707,269525,554232,273896,259759,533655
11,2003,292323,276361,568684,293330,278439,571769,286194,272129,558323,286776,271288,558064,275401,261019,536420,279050,265187,544237
12,2003,294399,279464,573863,288266,274015,562281,288884,273151,562035,276864,262284,539148,280996,266993,547989,289045,276325,565370
13,2003,289323,275036,564359,290996,274955,565951,278359,263524,541883,282929,268768,551697,290802,277870,568672,293872,280137,574009
14,2003,292236,276122,568358,279971,264790,544761,284992,270600,555592,292507,279324,571831,295479,281507,576986,302586,287349,589935
15,2003,281176,265849,547025,286758,272254,559012,294336,280947,575283,297087,282896,579983,304113,288730,592843,313079,299621,612700
16,2003,287317,272666,559983,295986,282370,578356,298797,284365,583162,305639,290085,595724,314848,301214,616062,318655,305701,624356
17,2003,296722,282803,579525,300400,285701,586101,307354,291517,598871,316652,302794,619446,319965,307152,627117,325578,311582,637160
18,2003,301442,286613,588055,308834,292943,601777,318587,304528,623115,321417,308668,630085,326986,313136,640122,336904,323400,660304
19,2003,308961,293657,602618,320091,306107,626198,322854,310294,633148,328420,314857,643277,337796,325004,662800,356999,343717,700716
20,2003,319517,306653,626170,323918,311733,635651,329992,317038,647030,338934,326774,665708,357355,344738,702093,370999,359207,730206
21,2003,323067,312238,635305,331241,319016,650257,340339,328815,669154,357946,345867,703813,371060,360280,731340,392106,380365,772471
22,2003,330570,320051,650621,341392,330636,672028,358858,347415,706273,371410,361451,732861,392081,381539,773620,416019,405204,821223
23,2003,341334,332575,673909,359526,348868,708394,371939,362946,734885,392272,382855,775127,416003,406568,822571,435955,425103,861058
24,2003,360179,351576,711755,372477,364365,736842,392702,384465,777167,416193,407944,824137,435451,426002,861453,437985,428185,866170
25,2003,373898,367279,741177,393202,385996,779198,416753,409659,826412,435260,426958,862218,437435,428928,866363,445986,435185,881171
26,2003,394884,389186,784070,417331,411288,828619,435280,428247,863527,437053,429710,866763,445402,435992,881394,455044,445228,900272
27,2003,419024,414434,833458,435484,429526,865010,437042,430741,867783,444865,436844,881709,454102,445819,899921,450539,441195,891734
28,2003,437850,433779,871629,437208,432426,869634,444591,437816,882407,453317,446371,899688,449863,441977,891840,464598,455727,920325
29,2003,439903,435836,875739,444829,438839,883668,452668,447054,899722,449237,442753,891990,464073,456485,920558,458993,449522,908515
30,2003,448219,442410,890629,452979,447945,900924,448919,443519,892438,463601,457093,920694,458239,449907,908146,462364,455179,917543
31,2003,455203,450846,906049,448928,444238,893166,463286,457812,921098,457522,450167,907689,461436,455080,916516,476520,470078,946598
32,2003,451136,445597,896733,463220,458147,921367,457063,450488,907551,460539,454899,915438,475663,470055,945718,476592,471768,948360
33,2003,465028,461043,926071,456815,451097,907912,459808,454802,914610,474868,469938,944806,475782,471762,947544,484534,478807,963341
34,2003,457385,456301,913686,459019,455802,914821,474211,469876,944087,474952,471658,946610,483447,478423,961870,454369,453383,907752
35,2003,460877,458942,919819,473799,470041,943840,474259,471598,945857,482403,477984,960387,453819,453413,907232,440407,440657,881064
36,2003,477416,473160,950576,474668,471821,946489,481438,477596,959034,453313,453372,906685,439925,440780,880705,434840,435076,869916
37,2003,477485,473605,951090,481113,477379,958492,452916,453359,906275,439417,440824,880241,434137,435151,869288,419985,421769,841754
38,2003,483036,479357,962393,452721,453404,906125,438985,440898,879883,433443,435197,868640,419460,422041,841501,412343,411617,823960
39,2003,454341,454837,909178,438786,440985,879771,432833,435291,868124,418946,422292,841238,411628,411517,823145,394217,395517,789734
40,2003,439998,442069,882067,432370,435359,867729,418535,422584,841119,410945,411332,822277,393447,395125,788572,391790,393382,785172
41,2003,433225,435946,869171,418288,422817,841105,410353,411209,821562,392684,394625,787309,390686,392667,783353,387659,391287,778946
42,2003,419136,423380,842516,409871,411070,820941,392015,394174,786189,389480,391891,781371,386730,390765,777495,382416,386919,769335
43,2003,410671,411876,822547,391514,393856,785370,388385,391195,779580,385714,390195,775909,381458,386576,768034,378739,385215,763954
44,2003,392243,394841,787084,387490,390625,778115,384764,389636,774400,380435,386210,766645,377529,384618,762147,364732,368523,733255
45,2003,388256,391550,779806,383939,389134,773073,379469,385858,765327,376195,384003,760198,363635,368087,731722,362817,369717,732534
46,2003,384351,389609,773960,378601,385440,764041,374931,383394,758325,362490,367585,730075,361669,369317,730986,363544,371675,735219
47,2003,378853,385681,764534,373714,382686,756400,361363,367075,728438,360384,368886,729270,362308,371361,733669,379704,388253,767957
48,2003,373916,382940,756856,360223,366465,726688,359177,368428,727605,361003,371101,732104,378326,387973,766299,383426,390169,773595
49,2003,360227,366647,726874,357894,367808,725702,359681,370838,730519,376871,387596,764467,381924,389318,771242,402625,410845,813470
50,2003,357512,367501,725013,358245,370295,728540,375362,387213,762575,380208,388371,768579,400625,409611,810236,395863,403193,799056
51,2003,357837,369751,727588,373760,386595,760355,378475,387444,765919,398549,408345,806894,393548,401805,795353,398584,409079,807663
52,2003,373104,386000,759104,376649,386417,763066,396336,406991,803327,391061,400272,791333,395977,407505,803482,311609,320870,632479
53,2003,375899,386387,762286,394008,405554,799562,388539,398724,787263,393227,405923,799150,309786,319974,629760,320812,331420,652232
54,2003,393241,405584,798825,386053,397265,783318,390498,404352,794850,307791,319040,626831,318652,330385,649037,325034,339340,664374
55,2003,385362,397342,782704,387731,402793,790524,305757,318052,623809,316318,329266,645584,322801,338357,661158,325316,342227,667543
56,2003,386795,402532,789327,303624,316897,620521,313884,328093,641977,320423,337229,657652,322785,341046,663831,328791,347461,676252
57,2003,302262,316371,618633,311363,326841,638204,317919,336047,653966,320036,339874,659910,326091,346480,672571,362579,385530,748109
58,2003,310098,326244,636342,315356,334764,650120,317237,338588,655825,323196,345453,668649,359391,384224,743615,359663,380840,740503
59,2003,313625,334181,647806,314309,337080,651389,320286,344323,664609,356064,382874,738938,356353,379313,735666,349718,373098,722816
60,2003,312448,336164,648612,317142,342897,660039,352667,381448,734115,352712,377676,730388,346073,371198,717271,324165,349122,673287
61,2003,314989,341841,656830,349088,379810,728898,349141,375866,725007,342149,369189,711338,320283,347117,667400,308725,338131,646856
62,2003,346471,378480,724951,345216,373870,719086,337992,367117,705109,316212,344913,661125,304789,336214,641003,316964,348639,665603
63,2003,342175,372755,714930,333879,364927,698806,311982,342553,654535,300794,334197,634991,312730,346509,659239,307796,342637,650433
64,2003,330833,363759,694592,307731,340237,647968,296627,332067,628694,308164,344395,652559,303010,340284,643294,301981,338599,640580
65,2003,304794,339141,643935,292289,329638,621927,303479,342045,645524,298080,337798,635878,296713,335878,632591,291123,334220,625343
66,2003,288470,327779,616249,298656,339492,638148,292968,335193,628161,291318,333086,624404,285665,331555,617220,292176,339096,631272
67,2003,294246,337314,631560,287723,332287,620010,285833,330219,616052,280018,328586,608604,286014,336229,622243,299589,354363,653952
68,2003,283133,329963,613096,280088,327011,607099,274094,325469,599563,279655,333154,612809,292442,350762,643204,271074,325012,596086
69,2003,274779,324493,599272,268085,322080,590165,273185,329922,603107,285049,346965,632014,264114,321401,585515,264421,322770,587191
70,2003,262273,319013,581286,266650,326356,593006,277736,342918,620654,256989,317555,574544,256394,318466,574860,256327,319877,576204
71,2003,260102,322608,582710,270106,338662,608768,249778,313375,563153,248339,313969,562308,247864,314825,562689,242953,313649,556602
72,2003,262663,334410,597073,242350,308947,551297,240286,309261,549547,239183,309503,548686,233926,308189,542115,232952,308586,541538
73,2003,234806,304704,539510,232157,304100,536257,230596,303817,534413,224940,302385,527325,223742,302816,526558,221262,300247,521509
74,2003,224282,299405,523687,221866,297974,519840,215784,296258,512042,214254,296800,511054,211727,293874,505601,212073,296884,508957
75,2003,214050,292910,506960,206836,289731,496567,204994,290337,495331,201941,287151,489092,202201,289873,492074,195945,289847,485792
76,2003,198355,283855,482210,195484,283492,478976,191876,279962,471838,192032,282390,474422,185879,282035,467914,184349,279372,463721
77,2003,186635,276515,463150,182007,272342,454349,181795,274509,456304,175753,273681,449434,174102,271164,445266,173561,269495,443056
78,2003,173240,265108,438348,170675,266140,436815,165655,265010,430665,163783,262398,426181,162694,260180,422874,106151,168516,274667
79,2003,159921,258060,417981,155308,255925,411233,153503,253202,406705,151957,250319,402276,99068,162116,261184,76192,125280,201472
80,2003,144806,247392,392198,140864,243600,384464,141121,239969,381090,91906,155244,247150,70349,119739,190088,75277,125398,200675
81,2003,129717,234367,364084,130286,229180,359466,84964,148109,233073,64708,113851,178559,69100,118958,188058,87217,149805,237022
82,2003,116995,219408,336403,78010,140926,218936,59346,107688,167034,62890,112156,175046,79423,141040,220463,100435,178412,278847
83,2003,70850,133133,203983,54136,101434,155570,57106,105201,162307,71622,131937,203559,90747,167048,257795,93703,172042,265745
84,2003,48660,94892,143552,51311,98414,149725,64170,122753,186923,81048,154996,236044,83351,159629,242980,85038,159732,244770
85,2003,45434,91165,136599,57260,113611,170871,71635,142994,214629,73502,146814,220316,75090,146746,221836,74669,145707,220376
86,2003,50189,104160,154349,63204,131070,194274,63978,133846,197824,65440,133539,198979,65026,132360,197386,59311,122687,181998
87,2003,54627,118198,172825,55684,119013,174697,56626,120366,176992,55778,118769,174547,50731,110157,160888,50390,109359,159749
88,2003,47420,105238,152658,48619,106928,155547,47297,105797,153094,43062,97909,140971,42474,96797,139271,38119,87854,125973
89,2003,40424,91227,131651,39876,93168,133044,36180,85854,122034,35345,84389,119734,31479,76285,107764,29679,73759,103438
90,2003,32581,79856,112437,30018,75102,105120,29272,72885,102157,25615,65363,90978,23998,62675,86673,21127,55887,77014
91,2003,23915,63138,87053,23792,62399,86191,20510,55306,75816,19198,52435,71633,16650,46773,63423,16074,44811,60885
92,2003,18639,51320,69959,16128,46385,62513,15007,43448,58455,12931,38372,51303,12400,36635,49035,12182,32691,44873
93,2003,12293,37424,49717,11500,35736,47236,9794,30940,40734,9499,29442,38941,9222,26182,35404,7980,24647,32627
94,2003,8472,28133,36605,7385,24856,32241,7131,23362,30493,6771,20530,27301,5835,19243,25078,5431,17545,22976
95,2003,5312,18999,24311,5180,18183,23363,4925,16128,21053,4200,14781,18981,3844,13339,17183,3951,13526,17477
96,2003,3718,13536,17254,3470,12930,16400,3023,11380,14403,2726,10011,12737,2856,10106,12962,2689,9256,11945
97,2003,2386,9411,11797,2107,8874,10981,1877,7456,9333,1976,7445,9421,1919,6724,8643,1715,6062,7777
98,2003,1406,6237,7643,1252,5586,6838,1366,5554,6920,1404,4896,6300,1120,4291,5411,951,3824,4775
99,2003,867,3835,4702,861,4005,4866,1103,3533,4636,792,3118,3910,587,2580,3167,560,2380,2940
100,2003,1201,5892,7093,978,5143,6121,938,4497,5435,794,3971,4765,774,3742,4516,756,3621,4377
0,2004,278646,263677,542323,275022,260634,535656,268276,254731,523007,274518,259054,533572,272792,258707,531499,270959,255666,526625
1,2004,276225,261795,538020,270053,256524,526577,271976,257257,529233,271686,258000,529686,269376,254461,523837,270301,255967,526268
2,2004,272492,258551,531043,273992,259134,533126,270620,257511,528131,268009,253275,521284,268321,254294,522615,270552,255675,526227
3,2004,276432,261075,537507,272154,258693,530847,266706,252084,518790,266437,252662,519099,269711,255042,524753,268351,253565,521916
4,2004,273990,260074,534064,268722,253762,522484,264829,251128,515957,268841,254366,523207,268274,253600,521874,271017,256529,527546
5,2004,271068,255691,526759,266989,252885,519874,268123,253760,521883,268120,253597,521717,270494,256127,526621,278324,263880,542204
6,2004,269528,254912,524440,270076,255358,525434,268085,253689,521774,269896,255658,525554,277828,263498,541326,289596,274887,564483
7,2004,272244,257186,529430,269977,255117,525094,269530,255399,524929,277278,263025,540303,289156,274669,563825,280841,266041,546882
8,2004,271960,256652,528612,271567,257147,528714,276926,262711,539637,288717,274342,563059,284236,269050,553286,284385,270156,554541
9,2004,273769,258991,532760,278853,264414,543267,288501,274159,562660,287799,272245,560044,287390,272949,560339,281842,268147,549989
10,2004,280940,266114,547054,290204,275716,565920,291170,275204,566374,290480,275820,566300,284025,270075,554100,284707,269525,554232
11,2004,292147,277352,569499,292323,276361,568684,293330,278439,571769,286194,272129,558323,286776,271288,558064,275401,261019,536420
12,2004,293603,277577,571180,294399,279464,573863,288266,274015,562281,288884,273151,562035,276864,262284,539148,280996,266993,547989
13,2004,295636,280467,576103,289323,275036,564359,290996,274955,565951,278359,263524,541883,282929,268768,551697,290802,277870,568672
14,2004,290590,276020,566610,292236,276122,568358,279971,264790,544761,284992,270600,555592,292507,279324,571831,295479,281507,576986
15,2004,293625,277257,570882,281176,265849,547025,286758,272254,559012,294336,280947,575283,297087,282896,579983,304113,288730,592843
16,2004,282748,267161,549909,287317,272666,559983,295986,282370,578356,298797,284365,583162,305639,290085,595724,314848,301214,616062
17,2004,288237,273276,561513,296722,282803,579525,300400,285701,586101,307354,291517,598871,316652,302794,619446,319965,307152,627117
18,2004,298093,283976,582069,301442,286613,588055,308834,292943,601777,318587,304528,623115,321417,308668,630085,326986,313136,640122
19,2004,303438,288369,591807,308961,293657,602618,320091,306107,626198,322854,310294,633148,328420,314857,643277,337796,325004,662800
20,2004,311416,295905,607321,319517,306653,626170,323918,311733,635651,329992,317038,647030,338934,326774,665708,357355,344738,702093
21,2004,322643,309940,632583,323067,312238,635305,331241,319016,650257,340339,328815,669154,357946,345867,703813,371060,360280,731340
22,2004,326997,316389,643386,330570,320051,650621,341392,330636,672028,358858,347415,706273,371410,361451,732861,392081,381539,773620
23,2004,336136,325371,661507,341334,332575,673909,359526,348868,708394,371939,362946,734885,392272,382855,775127,416003,406568,822571
24,2004,348128,339312,687440,360179,351576,711755,372477,364365,736842,392702,384465,777167,416193,407944,824137,435451,426002,861453
25,2004,368230,359612,727842,373898,367279,741177,393202,385996,779198,416753,409659,826412,435260,426958,862218,437435,428928,866363
26,2004,382877,376002,758879,394884,389186,784070,417331,411288,828619,435280,428247,863527,437053,429710,866763,445402,435992,881394
27,2004,404474,398072,802546,419024,414434,833458,435484,429526,865010,437042,430741,867783,444865,436844,881709,454102,445819,899921
28,2004,428659,424542,853201,437850,433779,871629,437208,432426,869634,444591,437816,882407,453317,446371,899688,449863,441977,891840
29,2004,448424,442804,891228,439903,435836,875739,444829,438839,883668,452668,447054,899722,449237,442753,891990,464073,456485,920558
30,2004,450364,444881,895245,448219,442410,890629,452979,447945,900924,448919,443519,892438,463601,457093,920694,458239,449907,908146
31,2004,456859,449922,906781,455203,450846,906049,448928,444238,893166,463286,457812,921098,457522,450167,907689,461436,455080,916516
32,2004,462571,456185,918756,451136,445597,896733,463220,458147,921367,457063,450488,907551,460539,454899,915438,475663,470055,945718
