Età,Sesso,Anno,Totale
29,Femmine,2003,435836
3,Maschi,2003,272154
3,Femmine,2003,258693
30,Maschi,2003,448219
30,Femmine,2003,442410
31,Maschi,2003,455203
31,Femmine,2003,450846
32,Maschi,2003,451136
32,Femmine,2003,445597
33,Maschi,2003,465028
33,Femmine,2003,461043
34,Maschi,2003,457385
34,Femmine,2003,456301
35,Maschi,2003,460877
35,Femmine,2003,458942
36,Maschi,2003,477416
36,Femmine,2003,473160
37,Maschi,2003,477485
37,Femmine,2003,473605
38,Maschi,2003,483036
38,Femmine,2003,479357
39,Maschi,2003,454341
39,Femmine,2003,454837
4,Maschi,2003,268722
4,Femmine,2003,253762
40,Maschi,2003,439998
40,Femmine,2003,442069
41,Maschi,2003,433225
41,Femmine,2003,435946
42,Maschi,2003,419136
42,Femmine,2003,423380
43,Maschi,2003,410671
43,Femmine,2003,411876
44,Maschi,2003,392243
44,Femmine,2003,394841
45,Maschi,2003,388256
45,Femmine,2003,391550
46,Maschi,2003,384351
46,Femmine,2003,389609
47,Maschi,2003,378853
47,Femmine,2003,385681
48,Maschi,2003,373916
48,Femmine,2003,382940
49,Maschi,2003,360227
49,Femmine,2003,366647
5,Maschi,2003,266989
5,Femmine,2003,252885
50,Maschi,2003,357512
50,Femmine,2003,367501
51,Maschi,2003,357837
51,Femmine,2003,369751
52,Maschi,2003,373104
52,Femmine,2003,386000
53,Maschi,2003,375899
53,Femmine,2003,386387
54,Maschi,2003,393241
54,Femmine,2003,405584
55,Maschi,2003,385362
55,Femmine,2003,397342
56,Maschi,2003,386795
56,Femmine,2003,402532
57,Maschi,2003,302262
57,Femmine,2003,316371
58,Maschi,2003,310098
58,Femmine,2003,326244
59,Maschi,2003,313625
59,Femmine,2003,334181
6,Maschi,2003,270076
6,Femmine,2003,255358
60,Maschi,2003,312448
60,Femmine,2003,336164
61,Maschi,2003,314989
61,Femmine,2003,341841
62,Maschi,2003,346471
62,Femmine,2003,378480
63,Maschi,2003,342175
63,Femmine,2003,372755
64,Maschi,2003,330833
64,Femmine,2003,363759
65,Maschi,2003,304794
65,Femmine,2003,339141
66,Maschi,2003,288470
66,Femmine,2003,327779
67,Maschi,2003,294246
67,Femmine,2003,337314
68,Maschi,2003,283133
68,Femmine,2003,329963
69,Maschi,2003,274779
69,Femmine,2003,324493
7,Maschi,2003,269977
7,Femmine,2003,255117
70,Maschi,2003,262273
70,Femmine,2003,319013
71,Maschi,2003,260102
71,Femmine,2003,322608
72,Maschi,2003,262663
72,Femmine,2003,334410
73,Maschi,2003,234806
73,Femmine,2003,304704
74,Maschi,2003,224282
74,Femmine,2003,299405
75,Maschi,2003,214050
75,Femmine,2003,292910
76,Maschi,2003,198355
76,Femmine,2003,283855
77,Maschi,2003,186635
77,Femmine,2003,276515
78,Maschi,2003,173240
78,Femmine,2003,265108
79,Maschi,2003,159921
79,Femmine,2003,258060
8,Maschi,2003,271567
8,Femmine,2003,257147
80,Maschi,2003,144806
80,Femmine,2003,247392
81,Maschi,2003,129717
81,Femmine,2003,234367
82,Maschi,2003,116995
