Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
16,Femmine,282370,272666,267161,278906,279275,284947,284263,288086,279655,274888,272355,274124,274255,274741,275410,279574,275243,273141,275235,278695,276845,279547,280540,283122,287590,290292,291285,293864,298332
17,Maschi,300400,296722,288237,285199,298336,296764,303591,304083,307701,299729,295328,292756,293718,293354,294786,295044,302253,295127,291807,294149,299478,298641,302297,298113,292788,291951,295607,291418,286093
17,Femmine,285701,282803,273276,269013,281105,280948,287081,286492,290241,281501,276474,273509,274593,274592,274979,275376,279736,275663,273582,275524,280939,277701,280729,281391,284265,285361,284684,286592,289467
18,Maschi,308834,301442,298093,290868,288892,301680,300965,307832,308168,311417,302650,297615,294502,295461,295551,299947,302995,306068,298000,292774,295158,304193,304333,313633,331547,340582,340722,350019,367933
18,Femmine,292943,286613,283976,275284,271940,283555,283930,290183,288974,292707,283674,278194,274399,275267,275171,275422,276335,280805,276707,273389,274550,282146,279127,280109,287678,291376,291193,291401,298970
19,Maschi,320091,308961,303438,299618,292517,291544,306687,305747,311855,311455,314313,304931,299027,296196,298107,301274,310352,307554,308381,299358,294218,300052,309963,309007,310770,316604,326515,325557,327321
19,Femmine,306107,293657,288369,285877,277242,274802,288143,288569,294029,292408,295815,286467,280140,275871,276507,276264,276933,277981,282363,276924,273072,277103,283627,283453,284967,288998,295522,295347,296861
20,Maschi,323918,319517,311416,305238,299972,293109,296922,311275,309326,314447,313724,316728,306062,300146,297986,302504,307475,313559,308189,309949,299483,298116,304996,314818,305210,303843,310723,320541,310933
20,Femmine,311733,306653,295905,290718,287896,279226,281136,294037,293154,298129,295950,299047,288638,281729,277203,277669,277991,278559,279269,282960,276153,275666,278991,285200,280906,280418,283743,289954,285659
21,Maschi,331241,323067,322643,313582,305731,300411,298392,302270,314703,312378,316870,316248,318057,306613,301681,302060,307927,310367,313182,308471,307995,303004,302673,293447,283796,278805,278474,269247,259596
21,Femmine,319016,312238,309940,298673,293343,290424,285748,288167,299503,298164,301848,299672,301664,290228,282973,278394,279695,279760,279835,279574,280508,278844,277626,275004,272934,271270,270053,267430,265360
22,Maschi,341392,330570,326997,325576,314109,306548,306272,303779,306044,318409,315265,319945,317846,319072,307779,304489,306012,310066,309970,313052,306585,311847,306574,310152,308071,306719,306092,308405,306323
22,Femmine,330636,320051,316389,313648,301605,296571,298399,292740,294223,305411,302850,306046,302634,303644,291652,284180,280254,281529,281029,280705,276923,283874,280348,279360,280144,280677,280955,279195,279979
23,Maschi,359526,341334,336136,330791,326336,315034,312976,312198,307650,310614,321878,318710,322142,318700,320541,310158,307961,308282,309688,309342,310871,310412,315925,315801,309375,308916,314429,314305,307879
23,Femmine,348868,332575,325371,320757,316881,305090,305284,305944,298617,300985,310649,307613,309559,304910,305212,293110,286044,282222,283094,281499,277904,280399,285778,288135,287757,290252,295631,297989,297611
24,Maschi,372477,360179,348128,340859,331410,327016,321290,319389,316142,311672,314270,325955,321559,323485,320083,323099,312942,310034,307991,308686,307450,314704,314636,320492,326056,330033,332415,337562,343126
24,Femmine,364365,351576,339312,330586,324000,320268,313449,313318,312002,304822,306373,315750,311394,311741,306323,306521,294761,287929,283641,283102,279469,281478,282812,288055,290843,292852,294186,299428,302217
25,Maschi,393202,373898,368230,354414,341988,332003,333347,327373,323523,320881,315208,318445,328699,322677,325190,321959,325985,314552,309378,306234,307226,311008,319013,328859,328439,332221,340226,350073,349653
25,Femmine,385996,367279,359612,345460,334113,327362,329088,321096,319476,318319,310013,311340,319720,313495,313102,307576,308048,295813,289242,282947,281322,282940,283771,282058,284497,286115,286945,285234,287673
26,Maschi,417331,394884,382877,375540,356109,342606,338213,338931,331355,328163,324679,319702,321492,329811,324163,328131,323901,327377,313758,306729,304818,310911,314881,320162,328350,334443,338414,343699,351887
