Età,Totale maschi,Totale femmine,Totale,Anno
21,322643,309940,632583,2004
22,326997,316389,643386,2004
23,336136,325371,661507,2004
24,348128,339312,687440,2004
25,368230,359612,727842,2004
26,382877,376002,758879,2004
27,404474,398072,802546,2004
28,428659,424542,853201,2004
29,448424,442804,891228,2004
30,450364,444881,895245,2004
31,456859,449922,906781,2004
32,462571,456185,918756,2004
33,457971,451459,909430,2004
34,469602,468564,938166,2004
35,463072,462766,925838,2004
36,468023,465602,933625,2004
37,482495,478432,960927,2004
38,481752,478694,960446,2004
39,487346,484752,972098,2004
40,457723,459547,917270,2004
41,443012,446588,889600,2004
42,435760,440128,875888,2004
43,421790,427543,849333,2004
44,412856,416218,829074,2004
45,394084,399170,793254,2004
46,390153,395790,785943,2004
47,385739,393117,778856,2004
48,379828,388804,768632,2004
49,374653,385857,760510,2004
50,360668,369278,729946,2004
51,357415,369567,726982,2004
52,357542,371308,728850,2004
53,372660,387108,759768,2004
54,375286,387904,763190,2004
55,392493,406848,799341,2004
56,384614,398449,783063,2004
57,385746,403026,788772,2004
58,300793,316320,617113,2004
59,308524,326114,634638,2004
60,311934,333825,645759,2004
61,310251,335319,645570,2004
62,312485,340670,653155,2004
63,343399,377030,720429,2004
64,338754,371531,710285,2004
65,327434,362478,689912,2004
66,301424,337787,639211,2004
67,284153,325670,609823,2004
68,289320,334836,624156,2004
69,277868,327241,605109,2004
70,268910,321349,590259,2004
71,255734,315206,570940,2004
72,252750,318217,570967,2004
73,254691,329365,584056,2004
74,226546,299420,525966,2004
75,215526,293746,509272,2004
76,205374,286665,492039,2004
77,189198,276807,466005,2004
78,176881,268535,445416,2004
79,163588,256538,420126,2004
80,148236,248691,396927,2004
81,133013,237164,370177,2004
82,118645,223016,341661,2004
83,103118,207775,310893,2004
84,63598,124334,187932,2004
85,43065,87596,130661,2004
86,39566,83029,122595,2004
87,42904,93491,136395,2004
88,46042,103055,149097,2004
89,39049,88777,127826,2004
90,32661,77057,109718,2004
91,25684,66372,92056,2004
92,18343,51390,69733,2004
93,14038,40661,54699,2004
94,8989,28824,37813,2004
95,5973,20981,26954,2004
96,3605,13889,17494,2004
97,2461,9519,11980,2004
98,1531,6370,7901,2004
99,891,4080,4971,2004
100 e oltre,1298,5902,7200,2004
Totale,27903719,29708271,57611990,2004
0,286668,271832,558500,2005
1,280318,265278,545596,2005
2,277714,263146,540860,2005
3,274944,260601,535545,2005
4,279102,263227,542329,2005
5,276032,261655,537687,2005
6,273850,257911,531761,2005
7,272135,257132,529267,2005
8,274460,259097,533557,2005
9,274212,258543,532755,2005
10,276572,261384,537956,2005
11,283426,268196,551622,2005
12,294367,279228,573595,2005
13,295477,279174,574651,2005
14,297175,281817,578992,2005
15,292249,277460,569709,2005
16,295661,278906,574567,2005
17,285199,269013,554212,2005
18,290868,275284,566152,2005
19,299618,285877,585495,2005
20,305238,290718,595956,2005
21,313582,298673,612255,2005
22,325576,313648,639224,2005
23,330791,320757,651548,2005
24,340859,330586,671445,2005
25,354414,345460,699874,2005
26,375540,366759,742299,2005
27,390856,383265,774121,2005
28,412893,407051,819944,2005
29,437439,431387,868826,2005
30,458047,450310,908357,2005
31,457801,450376,908177,2005
32,463228,453289,916517,2005
33,468201,460369,928570,2005
34,460899,457946,918845,2005
35,474151,473035,947186,2005
36,470096,467856,937952,2005
37,473727,470176,943903,2005
38,486243,482275,968518,2005
39,485593,482353,967946,2005
40,490976,488695,979671,2005
41,460659,462906,923565,2005
42,445520,449790,895310,2005
43,438022,443048,881070,2005
44,423870,430326,854196,2005
45,414488,419149,833637,2005
46,395662,402090,797752,2005
47,391635,398808,790443,2005
48,386663,395331,781994,2005
49,380393,390794,771187,2005
50,375107,387726,762833,2005
51,360983,370766,731749,2005
52,357060,370502,727562,2005
53,356991,372136,729127,2005
54,371915,387512,759427,2005
55,374437,388683,763120,2005
56,391557,407521,799078,2005
57,383681,399049,782730,2005
58,384503,403179,787682,2005
59,299134,315927,615061,2005
60,306795,325806,632601,2005
61,309907,333183,643090,2005
62,307862,334179,642041,2005
63,309759,339406,649165,2005
64,340142,375270,715412,2005
65,335224,370117,705341,2005
66,323834,361028,684862,2005
67,297531,336316,633847,2005
68,279574,323362,602936,2005
69,284005,332101,616106,2005
70,272377,324361,596738,2005
71,262821,318004,580825,2005
72,249060,311399,560459,2005
73,245250,313627,558877,2005
74,246467,324117,570584,2005
75,218297,294109,512406,2005
76,206827,287957,494784,2005
77,196987,280532,477519,2005
78,180024,269595,449619,2005
79,167624,260379,428003,2005
80,153267,247719,400986,2005
81,136382,239120,375502,2005
82,122668,227127,349795,2005
83,108680,211874,320554,2005
84,92784,194478,287262,2005
85,56943,116046,172989,2005
86,37860,80679,118539,2005
87,34425,75875,110300,2005
88,36736,84009,120745,2005
89,38602,90145,128747,2005
90,32179,77023,109202,2005
91,26330,65662,91992,2005
92,20232,55571,75803,2005
93,14184,42065,56249,2005
94,10680,32529,43209,2005
95,6613,22377,28990,2005
96,4264,15791,20055,2005
97,2483,10275,12758,2005
98,1668,6837,8505,2005
99,1005,4406,5411,2005
100 e oltre,1479,6616,8095,2005
Totale,28128308,29916060,58044368,2005
0,284192,266935,551127,2006
1,287042,272025,559067,2006
2,281879,266608,548487,2006
3,279355,264413,543768,2006
4,277441,262690,540131,2006
5,281795,265491,547286,2006
6,278094,263408,541502,2006
7,276553,260177,536730,2006
8,275112,259534,534646,2006
9,277046,261330,538376,2006
10,276727,260691,537418,2006
11,279200,263731,542931,2006
12,286021,270519,556540,2006
13,296917,281367,578284,2006
14,297319,280850,578169,2006
15,299218,283513,582731,2006
16,294591,279275,573866,2006
17,298336,281105,579441,2006
18,288892,271940,560832,2006
19,292517,277242,569759,2006
20,299972,287896,587868,2006
21,305731,293343,599074,2006
22,314109,301605,615714,2006
23,326336,316881,643217,2006
24,331410,324000,655410,2006
25,341988,334113,676101,2006
26,356109,349992,706101,2006
27,377710,371599,749309,2006
28,393742,389662,783404,2006
29,416459,411811,828270,2006
30,441351,435936,877287,2006
31,461266,453706,914972,2006
32,459777,451659,911436,2006
33,464904,455407,920311,2006
34,467438,464536,931974,2006
35,462075,460582,922657,2006
36,477339,475700,953039,2006
37,472784,470222,943006,2006
38,475515,472746,948261,2006
39,487387,484183,971570,2006
40,486880,484224,971104,2006
41,492378,490626,983004,2006
42,461575,464407,925982,2006
43,446377,450933,897310,2006
44,438555,443897,882452,2006
45,424416,431069,855485,2006
46,414955,420317,835272,2006
47,395992,403259,799251,2006
48,392042,399928,791970,2006
49,386670,396119,782789,2006
50,380353,391288,771641,2006
51,374862,388098,762960,2006
52,360499,370966,731465,2006
53,356134,370252,726386,2006
54,356039,371719,727758,2006
55,370733,386857,757590,2006
56,373156,388456,761612,2006
57,390110,407359,797469,2006
58,382254,398942,781196,2006
59,382853,402724,785577,2006
60,297257,315168,612425,2006
61,304815,325030,629845,2006
62,307286,332085,639371,2006
63,305216,332775,637991,2006
64,306656,337812,644468,2006
65,336566,373404,709970,2006
66,331291,368160,699451,2006
67,319595,358951,678546,2006
68,293170,334367,627537,2006
69,274546,320704,595250,2006
70,278203,328968,607171,2006
71,266279,321104,587383,2006
72,255973,314310,570283,2006
73,241826,306840,548666,2006
74,237340,308467,545807,2006
75,237669,317998,555667,2006
76,209551,288040,497591,2006
77,197589,281336,478925,2006
78,187874,273248,461122,2006
79,170586,261379,431965,2006
80,157199,251114,408313,2006
81,142361,237869,380230,2006
82,124189,228040,352229,2006
83,111451,215469,326920,2006
84,98080,198579,296659,2006
85,82922,179652,262574,2006
86,50186,106521,156707,2006
87,32713,73163,105876,2006
88,29349,67976,97325,2006
89,30671,73887,104558,2006
90,31493,77438,108931,2006
91,25952,65223,91175,2006
92,20568,54320,74888,2006
93,15515,45028,60543,2006
94,10572,33072,43644,2006
95,7635,24872,32507,2006
96,4583,16539,21122,2006
97,2831,11240,14071,2006
98,1647,7078,8725,2006
99,1062,4620,5682,2006
100 e oltre,1544,6994,8538,2006
Totale,28250293,30038703,58288996,2006
0,286772,270112,556884,2007
1,285122,267748,552870,2007
2,287756,272591,560347,2007
3,283181,267627,550808,2007
4,280469,265313,545782,2007
5,279460,264439,543899,2007
6,284001,267379,551380,2007
7,279757,264807,544564,2007
8,278803,262072,540875,2007
9,277410,261546,538956,2007
10,279129,263197,542326,2007
11,278806,262371,541177,2007
