Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale,Anno
94,873,8377,118,9202,0,0,0,18570,4687,2439,497,47019,0,0,1,54643,73213,2021
95,630,5482,73,6728,0,0,0,12913,3705,1602,385,36255,0,0,0,41947,54860,2021
96,465,3338,55,5206,2,0,0,9066,2884,1008,281,27054,0,0,0,31227,40293,2021
97,286,2059,34,3788,0,0,0,6167,2075,602,177,19995,0,0,0,22849,29016,2021
98,204,1225,20,2549,0,0,0,3998,1448,415,145,14107,0,0,0,16115,20113,2021
99,134,704,15,1673,0,0,0,2526,1079,229,91,9710,0,0,0,11109,13635,2021
100,185,762,21,1879,0,0,0,2847,1484,306,94,12446,0,0,0,14330,17177,2021
0,205371,0,0,0,0,0,0,205371,195255,0,0,0,0,0,0,195255,400626,2022
1,209824,0,0,0,0,0,0,209824,197810,0,0,0,0,0,0,197810,407634,2022
2,217987,0,0,0,0,0,0,217987,207196,0,0,0,0,0,0,207196,425183,2022
3,228694,0,0,0,0,0,0,228694,215944,0,0,0,0,0,0,215944,444638,2022
4,239183,0,0,0,0,0,0,239183,225570,0,0,0,0,0,0,225570,464753,2022
5,245640,0,0,0,0,0,0,245640,233044,0,0,0,0,0,0,233044,478684,2022
6,252296,0,0,0,0,0,0,252296,238523,0,0,0,0,0,0,238523,490819,2022
7,260055,0,0,0,0,0,0,260055,245536,0,0,0,0,0,0,245536,505591,2022
8,263845,0,0,0,0,0,0,263845,249119,0,0,0,0,0,0,249119,512964,2022
9,275299,0,0,0,0,0,0,275299,259960,0,0,0,0,0,0,259960,535259,2022
10,280091,0,0,0,0,0,0,280091,264218,0,0,0,0,0,0,264218,544309,2022
11,288645,0,0,0,0,0,0,288645,271368,0,0,0,0,0,0,271368,560013,2022
12,292919,0,0,0,0,0,0,292919,275957,0,0,0,0,0,0,275957,568876,2022
13,295957,0,0,0,0,0,0,295957,279801,0,0,0,0,0,0,279801,575758,2022
14,296180,0,0,0,0,0,0,296180,278508,0,0,0,0,0,0,278508,574688,2022
15,297220,0,0,0,0,0,0,297220,278674,0,0,0,0,0,0,278674,575894,2022
16,295953,4,3,3,0,0,0,295963,276827,13,4,1,0,0,0,276845,572808,2022
17,299464,10,4,0,0,0,0,299478,280915,19,5,0,0,0,0,280939,580417,2022
18,295135,13,8,1,1,0,0,295158,274391,155,4,0,0,0,0,274550,569708,2022
19,294146,64,5,2,1,0,0,294218,272368,693,10,0,1,0,0,273072,567290,2022
20,299273,199,9,1,1,0,0,299483,274204,1935,10,1,3,0,0,276153,575636,2022
21,307424,543,16,4,7,1,0,307995,276324,4142,30,2,9,1,0,280508,588503,2022
22,305282,1247,29,14,13,0,0,306585,270239,6583,72,13,14,2,0,276923,583508,2022
23,308492,2314,38,6,20,1,0,310871,267351,10421,103,14,13,2,0,277904,588775,2022
24,303471,3891,43,11,31,2,1,307450,263969,15306,146,9,37,2,0,279469,586919,2022
25,300427,6635,95,12,54,3,0,307226,259105,21872,265,31,42,7,0,281322,588548,2022
26,293971,10628,134,10,73,1,1,304818,250444,30672,408,39,59,7,0,281629,586447,2022
27,289845,15887,209,14,96,5,0,306056,244087,41887,616,70,74,10,0,286744,592800,2022
28,285712,23620,291,25,126,7,0,309781,237122,55620,941,87,131,8,0,293909,603690,2022
29,287845,34217,486,25,159,5,0,322737,232200,73337,1286,144,142,14,0,307123,629860,2022
30,272815,46730,697,39,176,5,0,320462,215651,90082,1730,171,161,10,0,307805,628267,2022
31,264754,61327,1011,42,235,15,1,327385,203222,107894,2421,249,203,13,1,314003,641388,2022
32,246961,75890,1336,57,247,9,1,324501,187092,125017,3219,336,231,21,0,315916,640417,2022
33,237931,93030,1802,88,292,10,1,333154,174531,144308,4093,461,303,13,0,323709,656863,2022
34,217131,106158,2217,80,322,15,0,325923,157697,155369,4829,555,323,18,0,318791,644714,2022
35,203123,120799,2784,132,360,14,2,327214,146134,167891,6102,685,266,16,2,321096,648310,2022
36,196261,136091,3666,128,372,8,0,336526,140652,182927,7435,849,327,15,1,332206,668732,2022
37,186911,151339,4410,205,310,7,1,343183,133526,195409,8728,1002,307,19,1,338992,682175,2022
38,178762,164875,5257,240,399,13,2,349548,127056,206481,10056,1206,296,10,0,345105,694653,2022
39,173773,180280,6314,262,372,16,1,361018,123469,220884,11660,1623,329,18,1,357984,719002,2022
40,164860,189297,7331,353,381,16,3,362241,117541,228230,13268,1865,292,11,0,361207,723448,2022
41,160609,203081,8437,413,373,13,2,372928,112709,238639,15153,2225,274,15,1,369016,741944,2022
42,156773,214669,9994,542,446,15,2,382441,110663,251838,17177,2663,290,13,0,382644,765085,2022
43,159084,231038,11817,691,401,9,5,403045,111746,267270,19967,3249,275,13,0,402520,805565,2022
44,156311,243747,13520,771,488,15,3,414855,110088,280649,22331,3796,312,10,1,417187,832042,2022
45,155741,259813,15749,943,445,10,5,432706,109532,295995,24870,4549,268,14,1,435229,867935,2022
46,155541,277360,18096,1242,548,8,5,452800,109168,313230,28325,5300,317,7,0,456347,909147,2022
47,154180,294015,20357,1425,574,11,5,470567,107940,329109,30840,6431,307,10,4,474641,945208,2022
48,143787,298394,22096,1635,511,9,3,466435,102125,330689,32791,7154,307,9,0,473075,939510,2022
49,137360,307640,23867,1965,511,9,3,471355,96538,336705,34954,8250,263,5,0,476715,948070,2022
50,129464,315618,25802,2207,536,12,7,473646,91997,344380,36983,9551,248,10,2,483171,956817,2022
51,119867,319546,26811,2530,530,7,9,469300,85924,343127,38345,10759,243,8,1,478407,947707,2022
52,114549,333083,29489,2891,517,6,5,480540,83560,355219,40007,12545,217,5,0,491553,972093,2022
53,106752,335624,29524,3323,539,10,3,475775,78708,354058,40575,14386,214,10,1,487952,963727,2022
54,100139,340441,31149,3752,505,5,9,476000,75482,357585,41455,16152,211,4,4,490893,966893,2022
55,95093,348712,32196,4523,540,4,1,481069,71921,361649,41901,18156,176,4,1,493808,974877,2022
56,87493,352554,33152,4922,533,5,3,478662,68346,361510,42093,20629,183,4,3,492768,971430,2022
57,82065,361286,33792,5672,477,2,6,483300,65124,367357,42871,23795,170,4,4,499325,982625,2022
58,70857,340817,31615,6035,470,6,9,449809,58099,347340,39518,25052,163,2,2,470176,919985,2022
59,63362,331427,30134,6445,422,5,6,431801,53395,335786,36991,28114,125,3,3,454417,886218,2022
60,58253,326403,28645,6887,408,1,8,420605,49966,328665,35731,30957,126,2,3,445450,866055,2022
61,52214,318780,26935,7532,357,3,6,405827,46070,316724,33826,34083,120,3,2,430828,836655,2022
62,47997,311838,25455,8235,319,3,8,393855,43203,307458,31422,37128,100,2,2,419315,813170,2022
63,43304,297575,23171,8767,318,4,5,373144,39171,292552,29201,39854,88,1,6,400873,774017,2022
64,40188,294835,22322,9458,278,2,3,367086,37159,287739,27603,43694,104,1,1,396301,763387,2022
65,36574,289926,20539,10386,237,2,10,357674,34290,279558,25724,47857,72,0,2,387503,745177,2022
66,33742,284200,18999,11133,222,6,3,348305,32338,271962,23955,51639,61,2,3,379960,728265,2022
67,31051,278626,17622,12277,199,1,4,339780,30198,263823,22544,56727,55,4,3,373354,713134,2022
68,28198,266114,15845,12975,169,0,6,323307,27849,247068,20572,59036,44,0,1,354570,677877,2022
69,26376,259009,14691,13889,175,2,4,314146,26546,239483,19075,63682,53,1,3,348843,662989,2022
70,24785,256584,13456,15009,155,1,9,309999,24777,233845,17945,69892,48,1,3,346511,656510,2022
71,23948,263533,13020,17048,146,3,6,317704,24995,235776,17644,78863,46,1,3,357328,675032,2022
72,22319,262177,12054,18717,138,1,10,315416,23992,229549,16278,87292,29,0,0,357140,672556,2022
73,22197,268236,11356,21381,139,0,4,323313,24341,231244,15904,99576,37,1,1,371104,694417,2022
74,20281,257272,10445,22730,119,2,4,310853,22995,215240,14725,106566,23,0,2,359551,670404,2022
75,19070,249673,9481,24952,110,1,4,303291,21997,205661,13885,115381,23,0,1,356948,660239,2022
76,13825,186252,6724,20739,76,0,0,227616,17412,148813,9840,96814,15,0,0,272894,500510,2022
77,13859,185095,6238,22504,67,0,4,227767,17447,143722,9251,107618,16,0,2,278056,505823,2022
78,13145,178224,5439,24149,66,1,1,221025,17600,136209,8664,115592,10,0,0,278075,499100,2022
79,12793,168688,5036,25399,74,0,4,211994,17191,124625,8062,121958,14,0,1,271851,483845,2022
80,12318,161027,4496,27016,64,0,2,204923,17182,114552,7286,130059,8,0,3,269090,474013,2022
81,12554,166639,4325,31431,41,0,4,214994,18266,112729,7108,151276,10,1,1,289391,504385,2022
82,11285,154053,3560,32230,31,0,4,201163,17501,98720,6097,153940,8,0,2,276268,477431,2022
83,9758,137101,3090,32200,24,0,1,182174,16508,83057,5385,154594,2,0,0,259546,441720,2022
84,8265,114710,2421,30716,22,1,1,156136,14988,64938,4339,145970,3,0,0,230238,386374,2022
85,6862,95023,1841,28891,15,0,0,132632,13657,50804,3641,137969,3,0,0,206074,338706,2022
86,6293,85406,1623,29045,14,0,2,122383,13240,42210,3132,139276,0,1,1,197860,320243,2022
87,5389,70419,1248,27577,19,0,1,104653,12266,32338,2583,131553,3,0,0,178743,283396,2022
88,4377,57538,956,25291,13,0,0,88175,11236,24303,2191,120929,0,0,1,158660,246835,2022
89,3532,45092,711,22802,4,1,0,72142,10115,17893,1759,110162,0,0,1,139930,212072,2022
90,2856,36249,508,20740,7,0,1,60361,9222,13174,1447,99541,2,0,0,123386,183747,2022
91,2419,28380,436,18778,8,0,3,50024,8579,9643,1294,91957,0,0,0,111473,161497,2022
92,1700,19441,274,14682,1,0,0,36098,6872,5984,922,72773,1,0,0,86552,122650,2022
93,1270,13450,204,11801,2,0,0,26727,5766,4100,695,59649,3,0,0,70213,96940,2022
94,915,9204,139,9464,1,0,0,19723,4690,2588,536,47968,0,0,0,55782,75505,2022
95,623,5673,87,7090,0,0,0,13473,3605,1597,399,36981,0,0,0,42582,56055,2022
96,423,3527,59,5074,0,0,0,9083,2786,1026,287,27620,0,0,0,31719,40802,2022
97,314,2071,39,3770,1,0,1,6196,2118,667,214,19976,0,0,0,22975,29171,2022
98,209,1311,24,2573,0,0,0,4117,1491,466,127,14327,0,0,0,16411,20528,2022
99,136,734,12,1689,0,0,0,2571,1006,275,98,9792,0,0,0,11171,13742,2022
100,232,847,21,2187,0,0,0,3287,1674,396,130,14227,0,0,0,16427,19714,2022
0,203086,0,0,0,0,0,0,203086,190834,0,0,0,0,0,0,190834,393920,2023
1,207218,0,0,0,0,0,0,207218,197034,0,0,0,0,0,0,197034,404252,2023
2,211696,0,0,0,0,0,0,211696,199551,0,0,0,0,0,0,199551,411247,2023
3,219719,0,0,0,0,0,0,219719,208732,0,0,0,0,0,0,208732,428451,2023
4,230081,0,0,0,0,0,0,230081,217293,0,0,0,0,0,0,217293,447374,2023
5,240388,0,0,0,0,0,0,240388,226752,0,0,0,0,0,0,226752,467140,2023
6,247005,0,0,0,0,0,0,247005,234312,0,0,0,0,0,0,234312,481317,2023
7,253577,0,0,0,0,0,0,253577,239574,0,0,0,0,0,0,239574,493151,2023
8,261164,0,0,0,0,0,0,261164,246566,0,0,0,0,0,0,246566,507730,2023
9,264925,0,0,0,0,0,0,264925,250184,0,0,0,0,0,0,250184,515109,2023
10,276385,0,0,0,0,0,0,276385,260983,0,0,0,0,0,0,260983,537368,2023
11,281120,0,0,0,0,0,0,281120,265099,0,0,0,0,0,0,265099,546219,2023
12,289714,0,0,0,0,0,0,289714,272242,0,0,0,0,0,0,272242,561956,2023
13,294025,0,0,0,0,0,0,294025,276869,0,0,0,0,0,0,276869,570894,2023
14,297185,0,0,0,0,0,0,297185,280786,0,0,0,0,0,0,280786,577971,2023
15,297394,0,0,0,0,0,0,297394,279486,0,0,0,0,0,0,279486,576880,2023
16,298832,9,3,1,0,0,0,298845,279533,11,3,0,0,0,0,279547,578392,2023
17,298631,5,2,3,0,0,0,298641,277682,15,4,0,0,0,0,277701,576342,2023
18,304160,26,6,1,0,0,0,304193,281986,156,4,0,0,0,0,282146,586339,2023
19,299975,65,8,3,1,0,0,300052,276343,750,7,0,3,0,0,277103,577155,2023
20,297897,208,4,3,4,0,0,298116,273927,1714,17,5,3,0,0,275666,573782,2023
21,302367,525,103,2,7,0,0,303004,275161,3575,97,2,9,0,0,278844,581848,2023
22,310607,1096,123,4,16,1,0,311847,277197,6508,143,3,22,1,0,283874,595721,2023
23,308009,2200,171,7,25,0,0,310412,270360,9771,219,18,27,4,0,280399,590811,2023
24,310542,3860,252,4,44,2,0,314704,266450,14717,250,18,41,2,0,281478,596182,2023
25,304378,6325,232,11,57,4,1,311008,261370,21195,295,14,60,6,0,282940,593948,2023
26,300477,10049,293,9,79,4,0,310911,255049,29169,480,47,90,11,0,284846,595757,2023
27,292600,15605,315,12,124,3,1,308660,244588,39840,696,50,118,10,0,285302,593962,2023
28,287079,22257,447,19,154,7,0,309963,236142,53184,979,96,141,13,0,290555,600518,2023
29,280825,32099,595,28,190,9,0,313746,227947,68088,1364,103,224,13,0,297739,611485,2023
30,280726,44982,816,31,221,11,1,326788,221822,87123,1831,175,228,19,1,311199,637987,2023
31,264514,58240,1070,180,275,7,1,324287,205183,103356,2483,331,279,13,1,311646,635933,2023
32,255869,73389,1478,178,331,22,1,331268,193411,120164,3346,421,311,23,2,317678,648946,2023
33,238026,87488,1859,222,363,13,2,327973,178935,135498,4217,491,345,28,0,319514,647487,2023
34,229036,104348,2454,244,427,16,3,336528,167988,152907,5236,672,414,23,2,327242,663770,2023
35,209452,116062,2929,229,439,21,1,329133,152412,162412,6127,755,436,25,0,322167,651300,2023
36,196369,128845,3819,307,466,25,4,329835,141463,173157,8156,1212,393,18,2,324401,654236,2023
37,190454,143003,4733,284,465,18,3,338960,136844,187041,9599,1412,413,26,1,335336,674296,2023
38,181878,157313,5451,374,399,14,2,345431,130770,198272,10928,1542,395,25,1,341933,687364,2023
39,174536,169611,6489,396,489,19,2,351542,125164,208329,12258,1772,386,16,0,347925,699467,2023
40,169821,184486,7557,427,483,23,1,362798,122019,222019,13988,2222,397,22,1,360668,723466,2023
41,161521,191818,8951,961,481,20,3,363755,115969,228596,15791,2977,377,21,1,363732,727487,2023
42,158064,204594,10140,1045,462,18,3,374326,111568,238249,17806,3357,339,21,2,371342,745668,2023
43,154406,215486,11767,1159,557,21,3,383399,109951,250881,19900,3903,347,22,0,385004,768403,2023
44,157195,231331,13563,1274,487,13,6,403869,111236,265662,22983,4439,335,16,0,404671,808540,2023
45,154821,243293,15420,1321,565,22,3,415445,109760,278615,25374,5032,379,10,1,419171,834616,2023
46,154349,258907,17824,1526,541,12,5,433164,108865,293775,27865,6227,324,15,1,437072,870236,2023
47,154345,275921,20295,1803,646,9,7,453026,108628,310380,31567,7075,371,11,1,458033,911059,2023
48,153217,291974,22682,1987,676,15,7,470558,107531,326133,34045,8226,367,16,4,476322,946880,2023
49,143250,295886,24533,2171,601,12,5,466458,102078,327430,35894,8960,353,13,0,474728,941186,2023
50,136482,305391,26071,2542,595,16,6,471103,96454,333389,37911,10063,305,7,3,478132,949235,2023
51,129289,312628,28023,2655,621,13,8,473237,91731,340698,39599,12125,302,14,2,484471,957708,2023
52,119954,316155,28900,2926,617,9,10,468571,85886,338929,41103,13416,277,9,1,479621,948192,2023
53,114890,329441,31485,3362,601,10,5,479794,83675,350873,42617,15234,247,7,1,492654,972448,2023
54,107228,331700,31488,3836,632,17,7,474908,78750,349675,43037,17255,243,11,3,488974,963882,2023
55,100303,336731,32912,4274,591,9,12,474832,75552,353186,43748,19103,250,6,4,491849,966681,2023
56,94874,344823,34108,5265,629,10,7,479716,71700,357371,43664,21473,198,6,1,494413,974129,2023
57,87485,348479,34913,5582,617,5,8,477089,68183,356803,43859,24060,207,7,5,493124,970213,2023
58,81883,357278,35418,6428,550,6,10,481573,65048,362696,44365,27429,197,7,6,499748,981321,2023
59,70782,336934,32757,6765,530,8,11,447787,58137,342500,40892,28758,178,3,2,470470,918257,2023
60,63161,327618,31313,7171,480,6,9,429758,53541,330700,38137,32058,148,3,4,454591,884349,2023
61,57803,322367,29484,8147,465,3,10,418279,49503,323317,36384,35978,149,2,4,445337,863616,2023
62,51988,314754,27601,8762,401,4,13,403523,45669,311039,34351,39375,143,4,3,430584,834107,2023
63,47603,307693,26065,9435,372,4,10,391182,42755,301549,31885,42288,115,2,3,418597,809779,2023
64,42905,293321,23602,9983,357,6,6,370180,38889,286351,29647,45260,104,2,6,400259,770439,2023
65,39736,290597,22604,10672,314,4,4,363931,36879,281261,27875,49317,112,1,1,395446,759377,2023
66,35723,285428,20817,12019,268,2,12,354269,33605,272641,25933,53988,76,0,5,386248,740517,2023
67,32917,279512,19203,12770,249,6,5,344662,31696,264257,24117,58108,70,2,2,378252,722914,2023
68,30270,273719,17713,14001,222,3,6,335934,29559,256399,22698,62904,61,4,3,371628,707562,2023
69,27428,260854,15866,14612,187,0,8,318955,27233,239064,20537,65302,50,0,1,352187,671142,2023
70,25535,253374,14598,15472,202,3,4,309188,25888,231297,19032,70042,60,1,3,346323,655511,2023
71,23907,250482,13426,16604,177,2,9,304607,24150,225159,17843,76152,52,1,4,343361,647968,2023
72,23068,256548,12919,18730,157,3,9,311434,24324,226286,17511,85589,49,1,4,353764,665198,2023
73,21489,254668,11915,20460,142,2,15,308691,23324,219342,16156,94289,32,0,0,353143,661834,2023
74,21232,259895,11179,23142,145,1,6,315600,23699,220010,15721,106599,38,1,1,366069,681669,2023
75,19321,248371,10229,24424,123,2,6,302476,22271,203676,14473,113575,26,0,2,354023,656499,2023
76,18180,239987,9250,26614,120,1,5,294157,21294,193271,13637,122483,25,0,1,350711,644868,2023
77,13040,177869,6478,22096,76,0,3,219562,16798,138763,9638,102108,16,0,1,267324,486886,2023
78,13022,175979,6043,23854,68,0,6,218972,16746,133232,8991,112665,18,1,2,271655,490627,2023
79,12314,168515,5158,25409,68,2,2,211468,16889,124893,8408,120389,7,1,0,270587,482055,2023
80,11918,158333,4812,26608,79,0,4,201754,16411,112916,7803,126453,13,0,1,263597,465351,2023
81,11362,150018,4244,28201,65,1,1,193892,16384,102897,6988,133597,8,0,3,259877,453769,2023
82,11494,153616,4047,32550,41,0,4,201752,17331,99897,6741,153850,11,1,1,277832,479584,2023
83,10210,140957,3295,32880,33,0,4,187379,16446,86019,5833,155292,7,0,2,263599,450978,2023
84,8716,123769,2852,32540,27,0,2,167906,15420,71280,5059,153876,1,0,0,245636,413542,2023
85,7347,102122,2203,30661,23,0,1,142357,13893,54479,4053,143523,3,0,0,215951,358308,2023
86,5968,83018,1646,28471,15,0,0,119118,12507,41502,3374,133515,2,0,0,190900,310018,2023
87,5417,73081,1412,28189,15,0,1,108115,11965,33785,2877,132323,0,1,1,180952,289067,2023
88,4596,59152,1092,26130,19,0,0,90989,10922,25118,2315,122487,2,0,0,160844,251833,2023
89,3577,46996,800,23447,10,0,1,74831,9793,18379,1926,110320,1,0,0,140419,215250,2023
90,2871,35706,562,20613,4,0,0,59756,8679,13314,1508,98272,0,0,0,121773,181529,2023
91,2267,27878,401,18301,7,0,1,48855,7786,9418,1234,86479,1,0,1,104919,153774,2023
92,1878,21052,344,16050,6,0,2,39332,7041,6739,1075,77977,0,0,0,92832,132164,2023
93,1278,13849,208,12129,0,0,0,27464,5560,4041,733,59922,1,0,0,70257,97721,2023
94,924,9186,157,9305,2,0,0,19574,4504,2678,543,47293,1,0,1,55020,74594,2023
95,641,6013,92,7205,1,0,0,13952,3476,1661,416,36946,1,0,0,42500,56452,2023
96,428,3484,50,5218,0,0,0,9180,2629,990,283,27550,0,0,0,31452,40632,2023
97,282,2055,36,3506,0,0,0,5879,2015,615,211,19700,0,0,0,22541,28420,2023
98,196,1205,29,2569,1,0,0,4000,1478,399,141,13818,0,0,0,15836,19836,2023
99,140,737,16,1635,0,0,0,2528,998,283,85,9509,0,0,0,10875,13403,2023
100,266,906,24,2258,0,0,0,3454,1675,466,145,14705,0,0,0,16991,20445,2023
0,195688,0,0,0,0,0,0,195688,184942,0,0,0,0,0,0,184942,380630,2024
1,204738,0,0,0,0,0,0,204738,192455,0,0,0,0,0,0,192455,397193,2024
2,208930,0,0,0,0,0,0,208930,198642,0,0,0,0,0,0,198642,407572,2024
3,213459,0,0,0,0,0,0,213459,201122,0,0,0,0,0,0,201122,414581,2024
4,221288,0,0,0,0,0,0,221288,210212,0,0,0,0,0,0,210212,431500,2024
5,231752,0,0,0,0,0,0,231752,218688,0,0,0,0,0,0,218688,450440,2024
6,241613,0,0,0,0,0,0,241613,227751,0,0,0,0,0,0,227751,469364,2024
7,248294,0,0,0,0,0,0,248294,235369,0,0,0,0,0,0,235369,483663,2024
8,255000,0,0,0,0,0,0,255000,240818,0,0,0,0,0,0,240818,495818,2024
9,262545,0,0,0,0,0,0,262545,247842,0,0,0,0,0,0,247842,510387,2024
10,266331,0,0,0,0,0,0,266331,251495,0,0,0,0,0,0,251495,517826,2024
11,277888,0,0,0,0,0,0,277888,262271,0,0,0,0,0,0,262271,540159,2024
12,282542,0,0,0,0,0,0,282542,266330,0,0,0,0,0,0,266330,548872,2024
13,291214,0,0,0,0,0,0,291214,273403,0,0,0,0,0,0,273403,564617,2024
14,295569,0,0,0,0,0,0,295569,278076,0,0,0,0,0,0,278076,573645,2024
15,298883,0,0,0,0,0,0,298883,282062,0,0,0,0,0,0,282062,580945,2024
16,299683,10,6,1,0,0,0,299700,280530,7,3,0,0,0,0,280540,580240,2024
17,302283,8,5,1,0,0,0,302297,280717,10,2,0,0,0,0,280729,583026,2024
18,304307,19,4,3,0,0,0,304333,278962,160,4,0,1,0,0,279127,583460,2024
19,309859,96,6,1,1,0,0,309963,282932,686,4,1,4,0,0,283627,593590,2024
20,304769,210,10,4,2,1,0,304996,277223,1748,11,2,7,0,0,278991,583987,2024
21,302149,506,7,2,8,1,0,302673,274416,3170,24,5,11,0,0,277626,580299,2024
22,305348,1100,107,3,16,0,0,306574,274473,5737,116,3,18,1,0,280348,586922,2024
23,313742,2024,125,9,25,0,0,315925,276259,9276,201,6,34,2,0,285778,601703,2024
24,310667,3730,190,9,40,0,0,314636,268972,13495,261,26,54,4,0,282812,597448,2024
25,312354,6320,269,7,62,1,0,319013,263717,19625,328,24,74,3,0,283771,602784,2024
26,304909,9613,262,15,79,2,1,314881,256832,27621,422,21,94,12,0,285002,599883,2024
27,299970,14491,366,14,107,7,0,314955,248909,37388,656,62,138,13,0,287166,602121,2024
28,290025,21885,422,13,180,8,1,312534,236720,49832,905,64,175,17,0,287713,600247,2024
29,283043,30229,554,27,203,14,1,314071,227042,64395,1308,117,225,18,0,293105,607176,2024
30,275075,41648,790,30,248,16,0,317807,217857,80156,1757,132,300,26,0,300228,618035,2024
31,273375,56056,1048,43,288,13,1,330824,210805,100170,2287,216,324,27,1,313830,644654,2024
32,256206,69694,1387,175,361,12,0,327835,195160,115035,3076,371,371,24,1,314038,641873,2024
33,247580,85087,1872,179,398,31,1,335148,184344,130856,4078,475,423,27,2,320205,655353,2024
34,230205,98491,2291,221,446,19,2,331675,171265,144440,5018,547,447,30,0,321747,653422,2024
35,221339,115045,3052,255,530,26,3,340250,161067,161063,6139,761,528,34,3,329595,669845,2024
36,202670,125183,3567,247,526,24,2,332219,146883,169056,7191,854,541,33,1,324559,656778,2024
37,190390,137026,4531,323,544,33,6,332853,136855,178699,9230,1313,478,27,2,326604,659457,2024
38,185013,150332,5534,316,546,26,3,341770,133081,191605,10795,1541,506,38,2,337568,679338,2024
39,176944,163633,6368,399,498,15,2,347859,127407,201903,12302,1695,478,38,1,343824,691683,2024
40,169768,175358,7474,437,558,25,3,353623,121957,211642,13720,1956,478,19,1,349773,703396,2024
41,165850,189155,8680,467,562,30,2,364746,119265,224620,15556,2406,463,25,1,362336,727082,2024
42,158118,195637,10168,983,553,28,6,365493,113726,230358,17523,3175,440,28,4,365254,730747,2024
43,154819,207948,11376,1063,539,30,3,375778,109579,239636,19655,3582,399,27,2,372880,748658,2024
44,151447,218084,13145,1216,660,21,5,384578,108020,251822,21923,4187,410,30,0,386392,770970,2024
45,154286,233801,15037,1359,586,19,6,405094,109457,266405,25073,4769,394,23,1,406122,811216,2024
46,152171,245161,17032,1413,634,23,5,416439,108047,278787,27588,5421,418,23,1,420285,836724,2024
47,151864,259971,19657,1615,595,18,7,433727,107455,293596,30288,6634,353,24,1,438351,872078,2024
48,151934,276730,22189,1936,728,14,7,453538,107283,309755,34081,7566,411,20,1,459117,912655,2024
49,150853,292502,24732,2105,756,16,10,470974,106073,325351,36517,8829,402,21,4,477197,948171,2024
50,140822,296045,26698,2344,695,15,7,466626,100548,326418,38480,9642,400,18,2,475508,942134,2024
51,134441,305039,28178,2721,710,20,7,471116,95201,332104,40399,10830,343,15,4,478896,950012,2024
52,127323,311949,30215,2885,687,18,11,473088,90547,339235,42024,12921,346,16,1,485090,958178,2024
53,118185,315050,31062,3225,682,12,14,468230,84830,336946,43420,14325,318,13,2,479854,948084,2024
54,113193,328142,33534,3629,670,12,7,479187,82627,348794,44880,16347,273,10,1,492932,972119,2024
55,105516,330191,33493,4160,699,19,9,474087,77820,347396,45076,18464,261,13,4,489034,963121,2024
56,98681,334954,34898,4684,643,9,14,473883,74590,350637,45718,20439,278,10,4,491676,965559,2024
57,93382,342892,35994,5667,694,11,9,478649,70923,354660,45472,23006,206,9,2,494278,972927,2024
58,86045,346317,36667,6068,655,7,11,475770,67285,353806,45597,25788,235,6,5,492722,968492,2024
59,80379,354828,36951,6963,611,5,14,479751,64135,359598,45806,29369,214,9,7,499138,978889,2024
60,69324,334588,34033,7311,579,13,13,445861,57296,339414,42005,30743,196,3,5,469662,915523,2024
61,61879,325164,32349,7788,534,6,10,427730,52721,327150,39214,34294,164,5,5,453553,881283,2024
62,56708,319798,30354,8687,499,4,11,416061,48845,319624,37255,38235,162,3,4,444128,860189,2024
63,50819,312066,28444,9384,447,4,16,401180,45035,306997,35107,41831,160,4,2,429136,830316,2024
64,46394,304715,26704,10146,394,3,14,388370,42066,297327,32521,45023,125,1,2,417065,805435,2024
65,41805,290160,24127,10687,378,5,10,367172,38302,281704,30115,48177,108,2,5,398413,765585,2024
66,38820,287120,22972,11436,325,6,6,360685,36250,276029,28350,52574,119,1,4,393327,754012,2024
67,34833,281768,21198,12693,289,3,15,350799,32963,266802,26441,57419,80,0,6,383711,734510,2024
68,31985,275599,19396,13519,260,4,7,340770,31129,258426,24444,61674,72,2,2,375749,716519,2024
69,29579,269432,17953,14817,234,4,6,332025,29297,250299,23047,66712,60,3,2,369420,701445,2024
70,26555,256195,15910,15447,201,1,9,314318,26747,232845,20659,68987,52,0,2,349292,663610,2024
71,24610,248341,14497,16410,217,3,5,304083,25303,224371,19117,74116,60,2,3,342972,647055,2024
72,23013,244837,13416,17519,182,1,12,298980,23621,217802,17814,80396,58,1,5,339697,638677,2024
73,22154,250141,12783,19789,158,3,9,305037,23721,218049,17427,90202,47,0,4,349450,654487,2024
74,20557,247817,11723,21606,144,3,18,301868,22711,210434,16045,99227,36,0,0,348453,650321,2024
75,20273,252040,10998,24376,142,1,10,307840,23059,209933,15593,111907,43,1,1,360537,668377,2024
76,18364,239791,10034,25742,124,2,7,294064,21608,193128,14264,118899,26,0,2,347927,641991,2024
77,17205,230668,8976,27867,109,1,8,284834,20603,182190,13445,127634,27,0,1,343900,628734,2024
78,12264,170142,6287,23159,73,0,6,211931,16223,129599,9430,105901,18,0,2,261173,473104,2024
79,12266,167312,5821,24868,66,0,9,210342,16144,123422,8789,116469,18,1,2,264845,475187,2024
