Età,Sesso,Anno,Totale
14,Maschi,2003,292236.0
14,Femmine,2003,276122.0
15,Maschi,2003,281176.0
15,Femmine,2003,265849.0
16,Maschi,2003,287317.0
16,Femmine,2003,272666.0
17,Maschi,2003,296722.0
17,Femmine,2003,282803.0
18,Maschi,2003,301442.0
18,Femmine,2003,286613.0
19,Maschi,2003,308961.0
19,Femmine,2003,293657.0
2,Maschi,2003,273992.0
2,Femmine,2003,259134.0
20,Maschi,2003,319517.0
20,Femmine,2003,306653.0
21,Maschi,2003,323067.0
21,Femmine,2003,312238.0
22,Maschi,2003,330570.0
22,Femmine,2003,320051.0
23,Maschi,2003,341334.0
23,Femmine,2003,332575.0
24,Maschi,2003,360179.0
24,Femmine,2003,351576.0
25,Maschi,2003,373898.0
25,Femmine,2003,367279.0
26,Maschi,2003,394884.0
26,Femmine,2003,389186.0
27,Maschi,2003,419024.0
27,Femmine,2003,414434.0
28,Maschi,2003,437850.0
28,Femmine,2003,433779.0
29,Maschi,2003,439903.0
29,Femmine,2003,435836.0
3,Maschi,2003,272154.0
3,Femmine,2003,258693.0
30,Maschi,2003,448219.0
30,Femmine,2003,442410.0
31,Maschi,2003,455203.0
31,Femmine,2003,450846.0
32,Maschi,2003,451136.0
32,Femmine,2003,445597.0
33,Maschi,2003,465028.0
33,Femmine,2003,461043.0
34,Maschi,2003,457385.0
34,Femmine,2003,456301.0
35,Maschi,2003,460877.0
35,Femmine,2003,458942.0
36,Maschi,2003,477416.0
36,Femmine,2003,473160.0
37,Maschi,2003,477485.0
37,Femmine,2003,473605.0
38,Maschi,2003,483036.0
38,Femmine,2003,479357.0
39,Maschi,2003,454341.0
39,Femmine,2003,454837.0
4,Maschi,2003,268722.0
4,Femmine,2003,253762.0
40,Maschi,2003,439998.0
40,Femmine,2003,442069.0
41,Maschi,2003,433225.0
41,Femmine,2003,435946.0
42,Maschi,2003,419136.0
42,Femmine,2003,423380.0
43,Maschi,2003,410671.0
43,Femmine,2003,411876.0
44,Maschi,2003,392243.0
44,Femmine,2003,394841.0
45,Maschi,2003,388256.0
45,Femmine,2003,391550.0
46,Maschi,2003,384351.0
46,Femmine,2003,389609.0
47,Maschi,2003,378853.0
47,Femmine,2003,385681.0
48,Maschi,2003,373916.0
48,Femmine,2003,382940.0
49,Maschi,2003,360227.0
49,Femmine,2003,366647.0
5,Maschi,2003,266989.0
5,Femmine,2003,252885.0
50,Maschi,2003,357512.0
50,Femmine,2003,367501.0
51,Maschi,2003,357837.0
51,Femmine,2003,369751.0
52,Maschi,2003,373104.0
52,Femmine,2003,386000.0
53,Maschi,2003,375899.0
53,Femmine,2003,386387.0
54,Maschi,2003,393241.0
54,Femmine,2003,405584.0
55,Maschi,2003,385362.0
55,Femmine,2003,397342.0
56,Maschi,2003,386795.0
56,Femmine,2003,402532.0
57,Maschi,2003,302262.0
57,Femmine,2003,316371.0
58,Maschi,2003,310098.0
58,Femmine,2003,326244.0
59,Maschi,2003,313625.0
59,Femmine,2003,334181.0
6,Maschi,2003,270076.0
6,Femmine,2003,255358.0
60,Maschi,2003,312448.0
60,Femmine,2003,336164.0
61,Maschi,2003,314989.0
61,Femmine,2003,341841.0
62,Maschi,2003,346471.0
62,Femmine,2003,378480.0
63,Maschi,2003,342175.0
63,Femmine,2003,372755.0
64,Maschi,2003,330833.0
64,Femmine,2003,363759.0
65,Maschi,2003,304794.0
65,Femmine,2003,339141.0
66,Maschi,2003,288470.0
66,Femmine,2003,327779.0
67,Maschi,2003,294246.0
67,Femmine,2003,337314.0
68,Maschi,2003,283133.0
68,Femmine,2003,329963.0
69,Maschi,2003,274779.0
69,Femmine,2003,324493.0
7,Maschi,2003,269977.0
7,Femmine,2003,255117.0
70,Maschi,2003,262273.0
70,Femmine,2003,319013.0
71,Maschi,2003,260102.0
71,Femmine,2003,322608.0
72,Maschi,2003,262663.0
72,Femmine,2003,334410.0
73,Maschi,2003,234806.0
73,Femmine,2003,304704.0
74,Maschi,2003,224282.0
74,Femmine,2003,299405.0
75,Maschi,2003,214050.0
75,Femmine,2003,292910.0
76,Maschi,2003,198355.0
76,Femmine,2003,283855.0
77,Maschi,2003,186635.0
77,Femmine,2003,276515.0
78,Maschi,2003,173240.0
78,Femmine,2003,265108.0
79,Maschi,2003,159921.0
79,Femmine,2003,258060.0
8,Maschi,2003,271567.0
8,Femmine,2003,257147.0
80,Maschi,2003,144806.0
80,Femmine,2003,247392.0
81,Maschi,2003,129717.0
81,Femmine,2003,234367.0
82,Maschi,2003,116995.0
82,Femmine,2003,219408.0
83,Maschi,2003,70850.0
83,Femmine,2003,133133.0
84,Maschi,2003,48660.0
84,Femmine,2003,94892.0
85,Maschi,2003,45434.0
85,Femmine,2003,91165.0
86,Maschi,2003,50189.0
86,Femmine,2003,104160.0
87,Maschi,2003,54627.0
87,Femmine,2003,118198.0
88,Maschi,2003,47420.0
88,Femmine,2003,105238.0
89,Maschi,2003,40424.0
89,Femmine,2003,91227.0
9,Maschi,2003,278853.0
9,Femmine,2003,264414.0
90,Maschi,2003,32581.0
90,Femmine,2003,79856.0
91,Maschi,2003,23915.0
91,Femmine,2003,63138.0
92,Maschi,2003,18639.0
92,Femmine,2003,51320.0
93,Maschi,2003,12293.0
93,Femmine,2003,37424.0
94,Maschi,2003,8472.0
94,Femmine,2003,28133.0
95,Maschi,2003,5312.0
95,Femmine,2003,18999.0
96,Maschi,2003,3718.0
96,Femmine,2003,13536.0
97,Maschi,2003,2386.0
97,Femmine,2003,9411.0
98,Maschi,2003,1406.0
98,Femmine,2003,6237.0
99,Maschi,2003,867.0
99,Femmine,2003,3835.0
0,Maschi,2004,278646.0
0,Femmine,2004,263677.0
1,Maschi,2004,276225.0
1,Femmine,2004,261795.0
10,Maschi,2004,280940.0
10,Femmine,2004,266114.0
11,Maschi,2004,292147.0
11,Femmine,2004,277352.0
12,Maschi,2004,293603.0
12,Femmine,2004,277577.0
13,Maschi,2004,295636.0
13,Femmine,2004,280467.0
14,Maschi,2004,290590.0
14,Femmine,2004,276020.0
15,Maschi,2004,293625.0
15,Femmine,2004,277257.0
16,Maschi,2004,282748.0
16,Femmine,2004,267161.0
17,Maschi,2004,288237.0
17,Femmine,2004,273276.0
18,Maschi,2004,298093.0
18,Femmine,2004,283976.0
19,Maschi,2004,303438.0
19,Femmine,2004,288369.0
2,Maschi,2004,272492.0
2,Femmine,2004,258551.0
20,Maschi,2004,311416.0
20,Femmine,2004,295905.0
21,Maschi,2004,322643.0
21,Femmine,2004,309940.0
22,Maschi,2004,326997.0
22,Femmine,2004,316389.0
23,Maschi,2004,336136.0
23,Femmine,2004,325371.0
24,Maschi,2004,348128.0
24,Femmine,2004,339312.0
25,Maschi,2004,368230.0
25,Femmine,2004,359612.0
26,Maschi,2004,382877.0
26,Femmine,2004,376002.0
27,Maschi,2004,404474.0
27,Femmine,2004,398072.0
28,Maschi,2004,428659.0
28,Femmine,2004,424542.0
29,Maschi,2004,448424.0
29,Femmine,2004,442804.0
3,Maschi,2004,276432.0
3,Femmine,2004,261075.0
30,Maschi,2004,450364.0
30,Femmine,2004,444881.0
31,Maschi,2004,456859.0
31,Femmine,2004,449922.0
32,Maschi,2004,462571.0
32,Femmine,2004,456185.0
33,Maschi,2004,457971.0
33,Femmine,2004,451459.0
34,Maschi,2004,469602.0
34,Femmine,2004,468564.0
35,Maschi,2004,463072.0
35,Femmine,2004,462766.0
36,Maschi,2004,468023.0
36,Femmine,2004,465602.0
37,Maschi,2004,482495.0
37,Femmine,2004,478432.0
38,Maschi,2004,481752.0
38,Femmine,2004,478694.0
39,Maschi,2004,487346.0
39,Femmine,2004,484752.0
4,Maschi,2004,273990.0
4,Femmine,2004,260074.0
40,Maschi,2004,457723.0
40,Femmine,2004,459547.0
41,Maschi,2004,443012.0
41,Femmine,2004,446588.0
42,Maschi,2004,435760.0
42,Femmine,2004,440128.0
43,Maschi,2004,421790.0
43,Femmine,2004,427543.0
44,Maschi,2004,412856.0
44,Femmine,2004,416218.0
45,Maschi,2004,394084.0
45,Femmine,2004,399170.0
46,Maschi,2004,390153.0
46,Femmine,2004,395790.0
47,Maschi,2004,385739.0
47,Femmine,2004,393117.0
48,Maschi,2004,379828.0
48,Femmine,2004,388804.0
49,Maschi,2004,374653.0
49,Femmine,2004,385857.0
5,Maschi,2004,271068.0
5,Femmine,2004,255691.0
50,Maschi,2004,360668.0
50,Femmine,2004,369278.0
51,Maschi,2004,357415.0
51,Femmine,2004,369567.0
52,Maschi,2004,357542.0
52,Femmine,2004,371308.0
53,Maschi,2004,372660.0
53,Femmine,2004,387108.0
54,Maschi,2004,375286.0
54,Femmine,2004,387904.0
55,Maschi,2004,392493.0
55,Femmine,2004,406848.0
56,Maschi,2004,384614.0
56,Femmine,2004,398449.0
57,Maschi,2004,385746.0
