Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
27,Maschi,303341.12,302225.66,304829.62,311124.59,299513.15,298397.69,301001.65,307296.61,295685.17,294569.71
28,Femmine,293513.26,289537.25,286183.19,283341.13,289140.04,285164.02,281809.96,278967.9,284766.81,280790.8
28,Maschi,323493.68,321312.42,321494.35,324065.28,335042.2,332860.94,333042.87,335613.8,346590.72,344409.45
29,Femmine,285333.14,284059.83,278805.2,269573.77,263144.35,261871.04,256616.4,247384.97,240955.55,239682.24
29,Maschi,305799.57,305778.71,302590.37,296238.98,290083.67,290062.81,286874.47,280523.08,274367.78,274346.91
30,Femmine,292768.51,293251.61,291002.71,286011.91,275840.12,276323.22,274074.32,269083.52,258911.73,259394.83
30,Maschi,314511.26,316877.41,316390.22,313041.8,306990.34,309356.5,308869.3,305520.88,299469.42,301835.58
31,Femmine,307525.98,303236.5,301995.49,303801.36,297620.16,293330.68,292089.67,293895.54,287714.34,283424.86
31,Maschi,322689.09,321668.88,322753.6,325942.82,319116.2,318095.98,319180.71,322369.93,315543.3,314523.09
32,Femmine,318646.13,316487.39,314592.75,312960.19,317137.16,314978.42,313083.79,311451.22,315628.2,313469.46
32,Maschi,333361.69,333738.2,334146.5,334578.25,339255.4,339631.92,340040.21,340471.97,345149.12,345525.64
33,Femmine,314779.42,316662.72,316669.25,314808.9,310031.44,311914.74,311921.27,310060.92,305283.46,307166.77
33,Maschi,332388.2,334586.0,336604.48,338449.93,337570.89,339768.69,341787.17,343632.62,342753.57,344951.37
34,Femmine,319218.57,318429.64,318032.19,318019.48,314832.06,314043.13,313645.68,313632.98,310445.56,309656.63
34,Maschi,331763.82,334185.75,335690.82,336272.46,335776.67,338198.61,339703.67,340285.31,339789.53,342211.46
35,Femmine,328587.84,330838.15,333087.16,335337.31,336792.52,339042.82,341291.83,343541.98,344997.19,347247.5
35,Maschi,338840.11,343773.35,348600.73,353326.25,354683.72,359616.96,364444.34,369169.86,370527.33,375460.57
36,Femmine,315841.46,312730.67,308246.76,302384.93,296279.91,293169.11,288685.21,282823.38,276718.35,273607.56
36,Maschi,321927.02,319931.55,316422.08,311393.3,304678.92,302683.45,299173.97,294145.2,287430.81,285435.34
37,Femmine,313656.51,308347.68,302409.01,295805.76,282175.51,276866.69,270928.01,264324.76,250694.51,245385.69
37,Maschi,319547.38,317186.21,312963.25,306856.3,293549.02,291187.85,286964.9,280857.94,267550.66,265189.49
38,Femmine,338518.08,336492.46,333320.37,328955.28,329906.42,327880.81,324708.71,320343.62,321294.76,319269.15
38,Maschi,344465.24,339800.73,335683.68,332022.63,334718.81,330054.29,325937.24,322276.2,324972.38,320307.86
39,Femmine,336300.84,331241.03,324800.36,317008.25,310806.24,305746.43,299305.76,291513.65,285311.64,280251.83
39,Maschi,339692.87,336795.83,331545.41,323967.99,317159.91,314262.87,309012.45,301435.03,294626.95,291729.91
40,Femmine,342037.24,338799.84,333701.01,326710.94,317890.81,314653.41,309554.59,302564.51,293744.39,290506.99
40,Maschi,348086.09,346806.37,343155.7,337106.61,330811.88,329532.15,325881.49,319832.4,313537.67,312257.94
41,Femmine,352256.96,343043.08,337759.19,336363.31,326285.75,317071.87,311787.99,310392.1,300314.55,291100.67
41,Maschi,343179.89,323871.84,314698.77,315689.7,294142.03,274833.98,265660.91,266651.84,245104.17,225796.12
42,Femmine,363548.81,347038.72,335736.77,329648.82,327945.01,311434.93,300132.98,294045.02,292341.22,275831.13
42,Maschi,364517.42,356922.84,348808.01,339975.18,338998.2,331403.62,323288.79,314455.96,313478.98,305884.4
