Età,Sesso,2025,2026,2027,2028,2029,2030
42,Maschi,362895.7,355541.95,347426.74,338593.53,335999.17,328645.41
43,Femmine,362728.7,339841.29,322325.25,310201.2,300044.56,277157.15
43,Maschi,354725.26,340417.72,326821.32,313943.04,294655.94,280348.4
44,Femmine,367954.1,361157.42,348641.25,330362.07,311922.08,305125.4
44,Maschi,372183.66,369479.69,358493.7,339202.71,326809.78,324105.81
45,Femmine,380713.87,361585.83,345527.68,332478.53,307071.14,287943.11
45,Maschi,375757.32,351600.74,334339.72,323988.7,294655.6,270499.01
46,Femmine,412719.4,390983.97,371709.18,354922.39,347353.95,325618.52
46,Maschi,412263.68,389718.33,370082.31,353357.29,349186.82,326641.47
47,Femmine,419558.76,405977.15,389369.21,369687.26,350901.18,337319.58
47,Maschi,407886.89,392086.21,374545.29,355246.37,329406.94,313606.26
48,Femmine,443876.66,444244.64,439706.87,430253.0,412172.84,412540.82
48,Maschi,453302.94,453167.23,448938.55,440612.22,437084.52,436948.81
49,Femmine,482037.37,475661.54,473674.63,476143.72,480980.26,474604.43
49,Maschi,474592.13,460293.39,455396.41,459912.43,463530.3,449231.55
50,Femmine,447200.72,439876.94,434838.1,432214.26,403902.3,396578.53
50,Maschi,445448.2,444801.45,442258.44,437781.43,416604.07,415957.31
51,Femmine,483310.31,479823.07,477981.44,477776.25,480795.99,477308.75
51,Maschi,476765.85,473444.92,472524.04,473989.89,478605.71,475284.78
52,Femmine,477061.75,474934.2,472851.78,470821.26,465012.52,462884.97
52,Maschi,466563.31,466608.5,464627.58,460625.97,456957.06,457002.25
53,Femmine,472196.15,473289.23,470774.92,464643.2,454660.22,455753.29
53,Maschi,455177.98,459001.04,457504.06,450671.26,436061.26,439884.32
54,Femmine,498500.71,490716.1,488797.13,492755.17,498312.45,490527.84
54,Maschi,475189.1,468752.58,467660.63,471939.67,467934.84,461498.32
55,Femmine,464006.08,462905.77,460946.63,458131.49,433103.81,432003.5
55,Maschi,485152.16,480259.97,481070.62,487587.35,491755.97,486863.77
56,Femmine,516833.1,522830.83,524475.43,521738.04,546897.6,552895.33
56,Maschi,488424.8,496372.59,497426.64,491593.69,506136.39,514084.19
57,Femmine,492596.0,502600.0,505327.24,500786.34,500504.0,510508.0
57,Maschi,479296.94,492327.08,496569.08,492029.99,493999.77,507029.91
58,Femmine,503831.32,525375.07,540176.49,548229.12,553844.54,575388.29
58,Maschi,487549.49,512329.72,529182.01,538099.38,544693.82,569474.05
59,Femmine,525539.12,528992.2,545045.15,573713.1,600108.86,603561.94
59,Maschi,501938.67,501966.98,517953.0,549917.05,572123.27,572151.57
60,Femmine,466538.2,469740.16,478881.07,493951.99,490830.0,494031.96
60,Maschi,442203.05,444408.53,453561.48,469664.42,466005.12,468210.6
61,Femmine,473431.49,494219.38,508728.44,516944.51,536815.56,557603.45
61,Maschi,448307.34,463785.09,476237.16,485688.22,506269.78,521747.53
62,Femmine,441521.67,450528.14,461797.29,475341.45,472741.79,481748.25
62,Maschi,417284.98,434900.1,448458.87,457970.89,460121.59,477736.71
63,Femmine,442059.33,455363.26,468867.78,482558.56,494565.63,507869.56
63,Maschi,412060.83,427113.2,441142.59,454134.95,464147.51,479199.88
64,Femmine,427176.48,430909.43,439292.0,452336.07,463672.58,467405.53
64,Maschi,388907.55,393945.06,402833.99,415578.26,418051.31,423088.82
65,Femmine,395106.1,408021.67,415964.66,418931.65,415621.44,428537.01
65,Maschi,362559.27,371779.91,378036.89,381277.87,376665.33,385885.98
66,Femmine,412434.77,417933.95,424221.89,431300.84,450406.33,455905.51
66,Maschi,370419.16,375946.97,381911.05,388327.13,398060.08,403587.89
67,Femmine,379352.05,383595.48,388493.53,393952.57,389594.34,393837.76
67,Maschi,356084.31,368444.45,376489.0,380229.03,386237.87,398598.0
68,Femmine,361117.46,372065.59,378833.59,381413.85,370677.14,381625.27
68,Maschi,356863.6,377281.04,389908.09,394744.14,410841.31,431258.75
69,Femmine,372175.98,361642.42,364986.37,382219.35,384984.46,374450.9
69,Maschi,333306.75,329874.76,334683.81,347753.89,349046.68,345614.7
70,Femmine,362588.34,359208.28,359020.22,361989.16,375288.84,371908.78
70,Maschi,322240.05,315487.23,314676.17,319806.08,327711.23,320958.4
71,Femmine,313395.97,295597.38,285138.58,282027.46,253253.24,235454.65
71,Maschi,279686.29,264149.18,254719.63,251403.73,227808.72,212271.61
72,Femmine,349967.56,334573.96,323408.9,316474.66,324153.17,308759.56
72,Maschi,302227.77,289743.73,279915.28,272741.89,274111.85,261627.81
73,Femmine,392612.25,391126.8,392227.08,395922.27,425765.28,424279.83
73,Maschi,344257.71,343113.09,344236.16,347635.27,374996.82,373852.21
74,Femmine,429393.72,431249.74,427175.34,417191.02,496164.51,498020.53
74,Maschi,372361.71,375084.06,372376.22,364255.72,433215.01,435937.35
75,Femmine,367211.62,397377.99,419522.53,433638.88,434078.46,464244.84
75,Maschi,315740.47,342599.93,362621.54,375799.99,377639.07,404498.53
76,Femmine,323569.66,349118.21,373500.17,396699.18,370269.99,395818.54
76,Maschi,275392.71,298167.12,320014.58,340921.6,320942.92,343717.33
77,Femmine,292668.25,303788.35,318046.23,335430.4,311486.48,322606.58
77,Maschi,242930.83,254026.27,267697.42,283934.32,264382.54,275477.98
78,Femmine,264643.25,262277.97,255857.84,245375.71,248850.36,246485.09
78,Maschi,198742.1,199554.4,194872.0,184692.24,174672.19,175484.49
79,Femmine,227328.25,230526.27,229262.26,223520.24,186005.56,189203.58
79,Maschi,189460.39,189565.0,189039.08,187913.16,167031.12,167135.73
80,Femmine,264639.84,238682.16,227064.95,229788.49,230774.98,204817.31
80,Maschi,201657.43,182882.92,175155.43,178474.74,177151.2,158376.69
81,Femmine,277400.0,264761.76,254458.33,246499.46,265116.28,252478.04
81,Maschi,210054.68,201065.66,194110.77,189197.59,204899.13,195910.11
82,Femmine,289688.17,286985.77,282260.25,275521.86,304098.11,301395.71
82,Maschi,214657.98,213510.43,211246.16,207873.06,231024.4,229876.84
83,Femmine,281587.41,295505.82,302437.02,302391.01,318940.27,332858.69
83,Maschi,203250.65,212208.14,217413.16,218863.17,233287.65,242245.14
84,Femmine,245887.65,261611.41,273280.32,280883.21,275503.3,291227.06
84,Maschi,171044.5,188421.94,200191.92,206342.9,203327.96,220705.39
85,Femmine,245421.51,249556.5,259433.52,275050.54,288903.91,293038.9
85,Maschi,168867.13,176348.74,186073.76,198034.79,212586.33,220067.94
86,Femmine,202237.83,200760.65,201859.31,205536.01,208481.03,207003.85
86,Maschi,130777.42,131777.24,134768.37,139751.74,142755.75,143755.57
87,Femmine,175046.12,179041.6,179315.2,175861.83,174547.84,178543.32
87,Maschi,110447.92,114139.88,116030.0,116117.23,119382.3,123074.26
88,Femmine,167047.65,167880.76,170064.77,173620.79,176268.65,177101.75
88,Maschi,97714.78,99164.22,101978.18,106164.14,108704.66,110154.1
89,Femmine,131263.2,128225.63,128714.65,132728.66,119559.91,116522.34
89,Maschi,73624.44,75222.93,77911.95,81682.97,76705.34,78303.82
90,Femmine,132486.99,127594.64,125981.65,127652.65,136698.94,131806.6
90,Maschi,67896.95,66320.75,66819.79,69396.67,74329.42,72753.23
91,Femmine,108313.54,109841.7,110044.51,108923.25,111474.85,113003.01
91,Maschi,52354.89,54316.1,55532.08,56003.5,58434.47,60395.68
92,Femmine,90154.67,92781.02,94529.88,95400.19,94908.11,97534.46
92,Maschi,40062.96,42177.99,43987.77,45491.64,45698.5,47813.53
93,Femmine,74369.18,74722.85,76583.1,79949.22,78965.2,79318.87
93,Maschi,30554.43,31181.93,32514.18,34550.95,34963.48,35590.98
94,Femmine,55196.68,54990.8,55265.21,56020.62,54911.78,54705.89
94,Maschi,21052.37,21721.81,22376.15,23015.47,23412.76,24082.2
95,Femmine,42233.75,41553.11,41471.12,41993.12,41204.76,40524.12
95,Maschi,14384.42,14875.48,15354.48,15823.48,15786.92,16277.98
96,Femmine,30695.62,29509.07,29242.07,29894.07,28485.75,27299.21
96,Maschi,9622.18,9567.62,9833.73,10420.5,10167.81,10113.25
97,Femmine,22639.41,22430.76,22425.31,22623.43,22305.0,22096.35
97,Maschi,6310.48,6206.62,6229.77,6379.98,6446.83,6342.97
98,Femmine,15397.64,14951.17,14805.88,14961.81,14151.42,13704.95
98,Maschi,4118.56,4107.84,4099.85,4094.64,4207.71,4196.99
99,Femmine,12920.87,13150.2,13455.42,13836.83,15178.44,15407.77
99,Maschi,3020.97,3116.61,3230.2,3361.79,3632.63,3728.26
