Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
78,Maschi,220256.62,216366.01,211807.13,206582.68,210260.99,206370.38,201811.5,196587.04,200265.36,196374.75,191815.86,186591.41,190269.73,186379.12,181820.23,176595.78
79,Femmine,289555.01,293275.76,294195.59,292315.11,294787.71,298508.46,299428.29,297547.81,300020.4,303741.15,304660.99,302780.51,305253.1,308973.85,309893.68,308013.2
79,Maschi,222394.38,225433.6,226228.52,224779.03,225327.86,228367.08,229162.0,227712.51,228261.33,231300.56,232095.47,230645.99,231194.81,234234.03,235028.95,233579.47
80,Femmine,284713.2,286295.58,288499.23,291322.69,291379.4,292961.78,295165.43,297988.89,298045.6,299627.98,301831.63,304655.09,304711.8,306294.18,308497.83,311321.29
80,Maschi,225550.02,228782.02,232622.24,237069.93,239602.83,242834.82,246675.04,251122.73,253655.63,256887.63,260727.85,265175.53,267708.43,270940.43,274780.65,279228.34
81,Femmine,281919.93,279423.7,280310.54,284582.17,289917.07,287420.84,288307.68,292579.31,297914.21,295417.98,296304.82,300576.46,305911.36,303415.13,304301.96,308573.6
81,Maschi,217961.73,218412.62,220875.57,225352.4,233014.17,233465.06,235928.01,240404.85,248066.61,248517.5,250980.46,255457.29,263119.06,263569.95,266032.9,270509.73
82,Femmine,280879.7,280068.45,281124.12,284048.62,293370.77,292559.52,293615.19,296539.69,305861.84,305050.59,306106.26,309030.76,318352.91,317541.66,318597.33,321521.83
82,Maschi,209070.57,210617.34,213276.49,217049.6,226489.37,228036.14,230695.3,234468.41,243908.18,245454.95,248114.1,251887.21,261326.98,262873.75,265532.9,269306.01
83,Femmine,273795.41,276262.58,280523.44,286577.96,290885.69,293352.85,297613.71,303668.24,307975.96,310443.13,314703.98,320758.51,325066.23,327533.4,331794.26,337848.78
83,Maschi,195640.0,199186.58,203644.9,209015.33,215028.85,218575.44,223033.76,228404.18,234417.7,237964.29,242422.61,247793.03,253806.56,257353.14,261811.46,267181.89
84,Femmine,264674.98,266608.39,269469.24,273259.93,284218.35,286151.75,289012.61,292803.3,303761.72,305695.12,308555.98,312346.67,323305.09,325238.49,328099.35,331890.04
84,Maschi,177624.02,181854.5,186446.2,191399.32,196894.22,201124.7,205716.4,210669.52,216164.42,220394.91,224986.6,229939.72,235434.62,239665.11,244256.8,249209.92
85,Femmine,244742.86,248866.12,252878.19,256780.31,264532.91,268656.16,272668.24,276570.36,284322.95,288446.21,292458.29,296360.4,304113.0,308236.26,312248.33,316150.45
85,Maschi,156553.32,161223.78,165633.5,169782.61,174227.72,178898.18,183307.9,187457.01,191902.11,196572.57,200982.3,205131.41,209576.51,214246.97,218656.69,222805.8
86,Femmine,222536.48,226846.26,230516.75,233549.03,240835.31,245145.1,248815.58,251847.86,259134.14,263443.93,267114.42,270146.69,277432.97,281742.76,285413.25,288445.52
86,Maschi,134823.14,139468.46,143297.62,146310.69,150113.87,154759.19,158588.35,161601.42,165404.6,170049.92,173879.08,176892.15,180695.33,185340.65,189169.81,192182.88
87,Femmine,199562.41,204619.82,209304.27,213615.25,216591.99,221649.41,226333.86,230644.84,233621.58,238678.99,243363.44,247674.43,250651.17,255708.58,260393.03,264704.02
87,Maschi,114720.31,118882.13,122502.86,125582.09,127831.23,131993.05,135613.78,138693.01,140942.15,145103.97,148724.7,151803.92,154053.07,158214.89,161835.62,164914.84
88,Femmine,181456.9,184394.4,187365.51,190371.45,197376.51,200314.01,203285.12,206291.06,213296.12,216233.62,219204.73,222210.67,229215.73,232153.23,235124.34,238130.28
88,Maschi,97002.08,100009.09,102893.07,105653.92,108058.45,111065.45,113949.44,116710.29,119114.82,122121.82,125005.81,127766.66,130171.19,133178.19,136062.18,138823.03
89,Femmine,159014.96,162034.63,164532.78,166510.81,173348.29,176367.96,178866.11,180844.14,187681.62,190701.28,193199.44,195177.46,202014.94,205034.61,207532.76,209510.79
89,Maschi,79577.64,82030.62,84208.57,86111.6,88565.97,91018.95,93196.9,95099.94,97554.31,100007.29,102185.24,104088.28,106542.65,108995.63,111173.58,113076.62
90,Femmine,135184.33,139009.9,142189.76,144723.86,147808.7,151634.27,154814.14,157348.23,160433.08,164258.65,167438.51,169972.61,173057.46,176883.02,180062.89,182596.99
90,Maschi,63261.25,65609.9,67673.44,69451.54,70446.14,72794.8,74858.34,76636.43,77631.04,79979.7,82043.24,83821.33,84815.94,87164.6,89228.14,91006.23
91,Femmine,112822.64,116319.33,119802.01,123269.71,123614.51,127111.21,130593.88,134061.58,134406.38,137903.08,141385.75,144853.46,145198.26,148694.95,152177.62,155645.33
91,Maschi,49318.23,51203.5,53030.29,54798.07,54921.79,56807.07,58633.86,60401.64,60525.36,62410.64,64237.42,66005.21,66128.93,68014.21,69840.99,71608.77
92,Femmine,95995.16,97490.56,99147.58,100967.04,105384.73,106880.14,108537.16,110356.62,114774.31,116269.72,117926.74,119746.2,124163.89,125659.3,127316.32,129135.77
92,Maschi,38364.17,39429.93,40544.49,41707.8,42718.74,43784.5,44899.06,46062.37,47073.3,48139.07,49253.62,50416.94,51427.87,52493.64,53608.19,54771.5
93,Femmine,76598.5,78390.95,79986.12,81384.44,84297.29,86089.74,87684.91,89083.23,91996.08,93788.53,95383.7,96782.02,99694.87,101487.32,103082.49,104480.81
93,Maschi,28461.0,29318.89,30137.82,30917.81,31698.74,32556.63,33375.57,34155.56,34936.49,35794.38,36613.32,37393.31,38174.24,39032.13,39851.07,40631.06
94,Femmine,58306.28,60358.53,62189.36,63798.36,64323.66,66375.91,68206.74,69815.73,70341.03,72393.28,74224.11,75833.11,76358.4,78410.65,80241.48,81850.48
94,Maschi,20059.41,20849.92,21572.26,22226.26,22351.2,23141.71,23864.05,24518.04,24642.98,25433.49,26155.84,26809.83,26934.77,27725.28,28447.62,29101.62
95,Femmine,44185.51,45749.97,47396.02,49123.1,48897.27,50461.73,52107.79,53834.86,53609.04,55173.5,56819.55,58546.63,58320.8,59885.26,61531.32,63258.4
95,Maschi,13931.39,14490.09,15076.31,15689.81,15539.0,16097.7,16683.92,17297.42,17146.62,17705.32,18291.53,18905.04,18754.23,19312.93,19899.15,20512.65
96,Femmine,33692.54,34276.28,34945.13,35699.37,37289.25,37872.99,38541.84,39296.08,40885.96,41469.7,42138.55,42892.79,44482.67,45066.41,45735.26,46489.5
96,Maschi,9745.7,9959.16,10205.6,10485.06,10849.98,11063.44,11309.88,11589.34,11954.26,12167.72,12414.16,12693.61,13058.53,13272.0,13518.44,13797.89
97,Femmine,23938.79,24579.82,25156.34,25668.48,26571.4,27212.42,27788.95,28301.08,29204.0,29845.02,30421.55,30933.68,31836.6,32477.63,33054.15,33566.28
97,Maschi,6359.19,6550.64,6732.89,6905.93,7086.74,7278.19,7460.43,7633.47,7814.28,8005.73,8187.98,8361.02,8541.83,8733.28,8915.52,9088.56
98,Femmine,16407.16,17040.01,17639.4,18205.16,18296.59,18929.44,19528.83,20094.59,20186.02,20818.87,21418.26,21984.02,22075.45,22708.3,23307.69,23873.45
98,Maschi,4079.13,4225.92,4368.06,4505.54,4560.2,4706.99,4849.13,4986.61,5041.27,5188.06,5330.21,5467.68,5522.34,5669.13,5811.28,5948.75
99,Femmine,10997.11,11396.49,11815.81,12254.95,12282.65,12682.02,13101.34,13540.49,13568.18,13967.55,14386.87,14826.02,14853.71,15253.08,15672.4,16111.55
99,Maschi,2555.43,2644.41,2741.62,2847.03,2861.09,2950.07,3047.28,3152.7,3166.75,3255.73,3352.94,3458.36,3472.41,3561.39,3658.6,3764.02
