Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
18,Femmine,272515.81,274806.63,275500.98,274595.67,270685.9,272976.72,273671.07,272765.75,268855.99,271146.81,271841.16,270935.84,267026.08,269316.9,270011.25,269105.93
18,Maschi,296963.38,300340.91,301330.78,299930.18,296790.03,300167.56,301157.43,299756.83,296616.68,299994.21,300984.08,299583.48,296443.33,299820.87,300810.73,299410.14
19,Femmine,273757.27,272393.33,272538.11,274191.72,270620.38,269256.44,269401.22,271054.84,267483.49,266119.55,266264.34,267917.95,264346.61,262982.66,263127.45,264781.06
19,Maschi,300451.29,300633.25,301671.13,303564.7,299704.92,299886.88,300924.75,302818.32,298958.54,299140.5,300178.37,302071.94,298212.16,298394.12,299431.99,301325.56
20,Femmine,275578.63,273450.86,271269.95,269037.37,271117.38,268989.61,266808.7,264576.12,266656.13,264528.36,262347.44,260114.86,262194.87,260067.1,257886.19,255653.61
20,Maschi,305926.96,303972.42,302647.17,301952.36,305036.3,303081.76,301756.5,301061.7,304145.63,302191.09,300865.84,300171.03,303254.97,301300.43,299975.17,299280.37
21,Femmine,272118.66,273359.36,272263.21,268831.06,266245.79,267486.5,266390.34,262958.2,260372.92,261613.63,260517.47,257085.33,254500.05,255740.76,254644.6,251212.46
21,Maschi,305855.82,306886.94,306457.85,304571.03,305028.32,306059.44,305630.35,303743.54,304200.83,305231.95,304802.86,302916.04,303373.33,304404.45,303975.36,302088.54
22,Femmine,274138.16,273713.61,272693.66,271076.28,267340.7,266916.16,265896.21,264278.82,260543.25,260118.7,259098.75,257481.37,253745.79,253321.24,252301.29,250683.91
22,Maschi,308621.1,309250.58,308866.47,307466.66,307752.64,308382.12,307998.01,306598.2,306884.18,307513.66,307129.55,305729.74,306015.72,306645.2,306261.09,304861.28
23,Femmine,276617.94,273660.98,272150.14,272086.59,268485.33,265528.38,264017.54,263953.98,260352.73,257395.77,255884.93,255821.38,252220.12,249263.17,247752.33,247688.77
23,Maschi,309128.65,308076.92,308254.44,309665.08,307063.74,306012.02,306189.54,307600.17,304998.84,303947.11,304124.64,305535.27,302933.93,301882.21,302059.73,303470.36
24,Femmine,275079.21,271124.83,267251.4,263459.66,262333.61,258379.23,254505.8,250714.06,249588.01,245633.63,241760.2,237968.47,236842.41,232888.03,229014.6,225222.87
24,Maschi,311394.27,309221.16,307863.81,307321.46,308526.41,306353.3,304995.94,304453.59,305658.55,303485.44,302128.08,301585.73,302790.68,300617.58,299260.22,298717.87
25,Femmine,272420.19,271050.14,267964.07,263165.72,257205.84,255835.78,252749.71,247951.36,241991.48,240621.42,237535.35,232737.0,226777.12,225407.06,222320.99,217522.65
25,Maschi,308659.7,308556.45,307857.74,306567.89,304368.9,304265.65,303566.94,302277.09,300078.11,299974.85,299276.15,297986.29,295787.31,295684.06,294985.35,293695.5
26,Femmine,275123.95,271682.58,267969.99,263981.4,258034.53,254593.16,250880.57,246891.98,240945.12,237503.74,233791.15,229802.56,223855.7,220414.32,216701.73,212713.14
26,Maschi,307974.39,307191.48,305846.41,303936.34,301904.17,301121.27,299776.19,297866.12,295833.95,295051.05,293705.97,291795.9,289763.74,288980.84,287635.76,285725.69
27,Femmine,276672.53,270465.99,266106.64,263601.65,255867.18,249660.65,245301.3,242796.31,235061.84,228855.31,224495.95,221990.97,214256.49,208049.96,203690.61,201185.62
27,Maschi,305066.94,302058.71,300478.17,300329.69,294562.08,291553.85,289973.31,289824.83,284057.23,281048.99,279468.46,279319.97,273552.37,270544.14,268963.6,268815.12
28,Femmine,286380.91,279122.26,274176.99,271539.03,268469.43,261210.78,256265.51,253627.55,250557.95,243299.3,238354.04,235716.07,232646.47,225387.82,220442.56,217804.59
28,Maschi,311199.44,306385.25,303742.03,303265.28,302147.72,297333.53,294690.31,294213.56,293096.0,288281.81,285638.59,285161.84,284044.28,279230.09,276586.87,276110.12
29,Femmine,291628.75,285581.74,281679.25,279922.73,275168.64,269121.63,265219.14,263462.62,258708.52,252661.51,248759.02,247002.5,242248.41,236201.4,232298.91,230542.39
29,Maschi,311900.22,307071.75,304894.26,305369.7,301734.31,296905.83,294728.35,295203.79,291568.4,286739.92,284562.44,285037.87,281402.48,276574.01,274396.53,274871.96
30,Femmine,300313.19,293002.43,288257.02,286076.15,285132.25,277821.49,273076.07,270895.21,269951.3,262640.55,257895.13,255714.27,254770.36,247459.6,242714.19,240533.32
30,Maschi,318176.83,311991.66,308487.3,307662.88,308500.86,302315.69,298811.34,297986.91,298824.89,292639.72,289135.37,288310.94,289148.92,282963.75,279459.4,278634.97
31,Femmine,299686.88,293929.48,289890.16,287568.65,282236.89,276479.49,272440.17,270118.65,264786.89,259029.49,254990.17,252668.66,247336.9,241579.5,237540.18,235218.66
31,Maschi,313199.59,309089.47,306582.75,305678.73,299740.93,295630.82,293124.09,292220.07,286282.27,282172.16,279665.43,278761.41,272823.61,268713.5,266206.77,265302.76
32,Femmine,295516.93,288482.44,282883.96,278720.21,270838.85,263804.36,258205.88,254042.13,246160.76,239126.27,233527.79,229364.04,221482.68,214448.19,208849.71,204685.95
32,Maschi,327716.96,325583.03,324500.71,324465.98,324906.95,322773.02,321690.7,321655.97,322096.94,319963.01,318880.69,318845.96,319286.93,317153.0,316070.68,316035.95
33,Femmine,290821.28,281714.84,274876.82,270304.98,257821.35,248714.91,241876.89,237305.06,224821.42,215714.98,208876.96,204305.13,191821.49,182715.05,175877.03,171305.2
33,Maschi,298125.52,289435.01,283082.73,279066.65,266368.26,257677.75,251325.46,247309.39,234611.0,225920.48,219568.2,215552.13,202853.74,194163.22,187810.94,183794.87
34,Femmine,293062.51,282119.07,273778.36,268039.07,256365.56,245422.12,237081.41,231342.12,219668.61,208725.17,200384.46,194645.17,182971.66,172028.22,163687.51,157948.22
