"Popolazione residente per età, sesso e stato civile al 1° gennaio 2024"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"09";"Toscana";89;284;3677;98;1687;2;0;0;5748;500;1567;151;7996;0;0;0;10214;15962
"09";"Toscana";90;260;2905;42;1571;1;0;0;4779;422;1084;114;7207;0;0;0;8827;13606
"09";"Toscana";91;202;2146;30;1316;0;0;0;3694;410;765;96;6343;0;0;0;7614;11308
"09";"Toscana";92;146;1680;30;1176;1;0;0;3033;357;511;81;5575;0;0;0;6524;9557
"09";"Toscana";93;126;1173;25;974;1;0;0;2299;308;368;72;4870;0;0;0;5618;7917
"09";"Toscana";94;84;756;20;778;0;0;0;1638;231;213;38;3777;0;0;0;4259;5897
"09";"Toscana";95;51;520;10;599;0;0;0;1180;196;140;34;3010;0;0;0;3380;4560
"09";"Toscana";96;29;325;4;456;0;0;0;814;160;87;24;2147;1;0;0;2419;3233
"09";"Toscana";97;26;179;2;303;0;0;0;510;108;50;16;1595;0;0;0;1769;2279
"09";"Toscana";98;18;87;2;185;0;0;0;292;84;25;10;1111;0;0;0;1230;1522
"09";"Toscana";99;8;53;5;138;0;0;0;204;69;22;5;803;0;0;0;899;1103
"09";"Toscana";100;16;63;2;215;0;0;0;296;88;30;9;1220;0;0;0;1347;1643
"09";"Toscana";999;849417;807212;68282;53087;1821;58;29;1779906;731855;818495;96168;232755;1275;60;16;1880624;3660530
"04";"Trentino-Alto Adige/Südtirol";0;4407;0;0;0;0;0;0;4407;4090;0;0;0;0;0;0;4090;8497
"04";"Trentino-Alto Adige/Südtirol";1;4633;0;0;0;0;0;0;4633;4368;0;0;0;0;0;0;4368;9001
"04";"Trentino-Alto Adige/Südtirol";2;4852;0;0;0;0;0;0;4852;4621;0;0;0;0;0;0;4621;9473
